,Country Name,Country Code,Indicator Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
101,Hungary,HUN,"Railways, passengers carried (million passenger-km)",7806.0,7806.0,7843.0,7738.0,7609.161,7653.455,7730.982,7769.56,,,
102,IBRD only,IBD,"Railways, passengers carried (million passenger-km)",2497.0,2645.8793,4411.0,1756.5,1964.330166,1908.5,2404.044107,,,,
103,IDA & IBRD total,IBT,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
104,IDA total,IDA,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
105,IDA blend,IDB,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
106,Indonesia,IDN,"Railways, passengers carried (million passenger-km)",19024.0,17154.0,16926.0,20396.0,22296.0,21636.0,25654.0,28002.0,29066.0,,
107,IDA only,IDX,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
108,Isle of Man,IMN,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
109,India,IND,"Railways, passengers carried (million passenger-km)",1046522.0,1098103.0,1140412.0,1147190.0,1143039.0,1149835.0,1161333.0,,,,
110,Not classified,INX,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
111,Ireland,IRL,"Railways, passengers carried (million passenger-km)",1638.0,1578.0,1592.0,1863.0,1917.0,1990.0,2121.0,2281.0,,,
112,"Iran, Islamic Rep.",IRN,"Railways, passengers carried (million passenger-km)",17877.0,17172.0,17409.0,16272.0,14938.0,12982.0,13270.0,15239.0,,,
113,Iraq,IRQ,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
114,Iceland,ISL,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
115,Israel,ISR,"Railways, passengers carried (million passenger-km)",1926.9,2133.4,2376.2,2485.2,2608.1,2644.7,2765.2,3031.76,,,
116,Italy,ITA,"Railways, passengers carried (million passenger-km)",46845.0,46759.0,48739.0,49957.0,52207.0,52178.0,53231.0,55493.0,,,
117,Jamaica,JAM,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
118,Jordan,JOR,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
119,Japan,JPN,"Railways, passengers carried (million passenger-km)",395067.0,404396.0,414387.0,413970.0,427486.0,431799.0,437363.0,,,,
120,Kazakhstan,KAZ,"Railways, passengers carried (million passenger-km)",16595.3,18498.0,19125.0,18317.0,17085.0,18165.1,19241.2,19109.7,,,
121,Kenya,KEN,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
122,Kyrgyz Republic,KGZ,"Railways, passengers carried (million passenger-km)",82.8,75.8,,,41.0,40.8,43.0,35.0,,,
123,Cambodia,KHM,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
124,Kiribati,KIR,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
125,St. Kitts and Nevis,KNA,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
126,"Korea, Rep.",KOR,"Railways, passengers carried (million passenger-km)",63044.0,70079.0,66353.0,67860.0,68371.0,86871.0,89964.0,,,,
127,Kuwait,KWT,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
128,Latin America & Caribbean (excluding high income),LAC,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
129,Lao PDR,LAO,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
130,Lebanon,LBN,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
131,Liberia,LBR,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
132,Libya,LBY,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
133,St. Lucia,LCA,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
134,Latin America & Caribbean,LCN,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
135,Least developed countries: UN classification,LDC,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
136,Low income,LIC,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
137,Liechtenstein,LIE,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
138,Sri Lanka,LKA,"Railways, passengers carried (million passenger-km)",4574.19,5039.45,6257.38,,7407.39,,,,,,
139,Lower middle income,LMC,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
140,Low & middle income,LMY,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
141,Lesotho,LSO,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
142,Late-demographic dividend,LTE,"Railways, passengers carried (million passenger-km)",1638.0,1578.0,1592.0,1246.25,1246.0,1095.5,1164.0,,,,
143,Lithuania,LTU,"Railways, passengers carried (million passenger-km)",389.0,403.0,391.0,373.0,361.0,396.0,424.0,468.0,,,
144,Luxembourg,LUX,"Railways, passengers carried (million passenger-km)",349.0,373.0,394.0,409.0,383.0,,,,,,
145,Latvia,LVA,"Railways, passengers carried (million passenger-km)",741.0,725.0,729.0,649.0,591.0,584.0,596.0,624.0,,,
146,"Macao SAR, China",MAC,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
147,St. Martin (French part),MAF,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
148,Morocco,MAR,"Railways, passengers carried (million passenger-km)",4819.0,5114.0,5397.0,5449.0,5507.0,5208.0,4923.0,4475.0,,,
149,Monaco,MCO,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
150,Moldova,MDA,"Railways, passengers carried (million passenger-km)",363.0,347.0,330.0,257.0,181.0,122.0,99.0,94.5,,,
151,Madagascar,MDG,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
152,Maldives,MDV,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
153,Middle East & North Africa,MEA,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
154,Mexico,MEX,"Railways, passengers carried (million passenger-km)",891.0,970.0,1036.0,1150.0,1411.0,1481.0,1550.0,1591.0,,,
155,Marshall Islands,MHL,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
156,Middle income,MIC,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
157,North Macedonia,MKD,"Railways, passengers carried (million passenger-km)",145.0,99.0,80.0,80.0,178.0,83.0,59.0,64.0,,,
158,Mali,MLI,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
159,Malta,MLT,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
160,Myanmar,MMR,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
161,Middle East & North Africa (excluding high income),MNA,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
162,Montenegro,MNE,"Railways, passengers carried (million passenger-km)",65.0,62.0,73.0,76.0,81.0,84.0,60.0,,,,
163,Mongolia,MNG,"Railways, passengers carried (million passenger-km)",2799.0,2970.4,1394.0,1194.5,996.74,956.0,973.0,,,,
164,Northern Mariana Islands,MNP,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
165,Mozambique,MOZ,"Railways, passengers carried (million passenger-km)",246.8,,,,,,,,,,
166,Mauritania,MRT,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
167,Mauritius,MUS,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
168,Malawi,MWI,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
169,Malaysia,MYS,"Railways, passengers carried (million passenger-km)",2497.0,2321.3586,2413.241413,1985.694289,1964.330166,2344.190264,2468.088213,2317.063326,,,
170,North America,NAC,"Railways, passengers carried (million passenger-km)",16991.7551,17750.85033,18706.05247,18860.05324,18696.43784,18650.07868,17391.2713,16780.35332,,,
171,Namibia,NAM,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
172,New Caledonia,NCL,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
173,Niger,NER,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
174,Nigeria,NGA,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
175,Nicaragua,NIC,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
176,Netherlands,NLD,"Railways, passengers carried (million passenger-km)",16808.0,17098.0,17018.0,17018.0,17700.0,18532.0,18437.0,18895.0,,,
177,Norway,NOR,"Railways, passengers carried (million passenger-km)",3644.0,3783.0,3943.0,4148.0,4318.0,4527.0,,,,,
178,Nepal,NPL,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
179,Nauru,NRU,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
180,New Zealand,NZL,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
181,OECD members,OED,"Railways, passengers carried (million passenger-km)",7122.0,7142.5,7601.0,7738.0,8298.112592,7829.0,9497.566454,8353.78,,,
182,Oman,OMN,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
183,Other small states,OSS,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
184,Pakistan,PAK,"Railways, passengers carried (million passenger-km)",20619.0,,,19779.0,20288.0,21201.0,22476.0,24903.0,,,
185,Panama,PAN,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
186,Peru,PER,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
187,Philippines,PHL,"Railways, passengers carried (million passenger-km)",,,,,342.0,384.0,,,,,
188,Palau,PLW,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
189,Papua New Guinea,PNG,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
190,Poland,POL,"Railways, passengers carried (million passenger-km)",18177.0,17826.0,16797.0,16015.0,17367.0,19175.0,20319.0,21043.0,,,
191,Pre-demographic dividend,PRE,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
192,Puerto Rico,PRI,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
193,"Korea, Dem. People's Rep.",PRK,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
194,Portugal,PRT,"Railways, passengers carried (million passenger-km)",4143.0,3803.0,3649.0,3852.0,3957.0,4146.0,4391.0,4487.0,,,
195,Paraguay,PRY,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
196,West Bank and Gaza,PSE,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
197,Pacific island small states,PSS,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
198,Post-demographic dividend,PST,"Railways, passengers carried (million passenger-km)",10875.0,10150.0,10595.0,10974.0,10333.0,10025.0,12656.7,13204.7,,,
199,French Polynesia,PYF,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
200,Qatar,QAT,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
201,Romania,ROU,"Railways, passengers carried (million passenger-km)",5073.0,4571.0,4411.0,4976.0,5149.0,4988.0,5663.0,5577.0,,,
202,Russian Federation,RUS,"Railways, passengers carried (million passenger-km)",139742.0,144612.0,138517.0,130027.0,120644.0,124620.0,123096.0,129542.0,,,
203,Rwanda,RWA,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
204,South Asia,SAS,"Railways, passengers carried (million passenger-km)",14335.5,8787.0,8253.0,19779.0,14499.5,21201.0,,,,,
205,Saudi Arabia,SAU,"Railways, passengers carried (million passenger-km)",,,,,,,49.67,134.65,,,
206,Sudan,SDN,"Railways, passengers carried (million passenger-km)",13.0,,7.2,81.5,,,,,,,
207,Senegal,SEN,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
208,Singapore,SGP,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
209,Solomon Islands,SLB,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
210,Sierra Leone,SLE,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
211,El Salvador,SLV,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
212,San Marino,SMR,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
213,Somalia,SOM,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
214,Serbia,SRB,"Railways, passengers carried (million passenger-km)",541.0,540.0,612.0,453.0,509.0,438.0,377.0,,,,
215,Sub-Saharan Africa (excluding high income),SSA,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
216,South Sudan,SSD,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
217,Sub-Saharan Africa,SSF,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
218,Small states,SST,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
219,Sao Tome and Principe,STP,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
220,Suriname,SUR,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
221,Slovak Republic,SVK,"Railways, passengers carried (million passenger-km)",2431.0,2459.0,2485.0,2583.0,3411.0,3595.0,3873.0,3915.0,,,
222,Slovenia,SVN,"Railways, passengers carried (million passenger-km)",773.0,742.0,760.0,697.0,709.0,680.0,650.0,,,,
223,Sweden,SWE,"Railways, passengers carried (million passenger-km)",11378.0,11792.0,11842.0,12121.0,12650.0,12800.0,13331.0,13778.0,,,
224,Eswatini,SWZ,"Railways, passengers carried (million passenger-km)",0.068,,,,,,,,,,
225,Sint Maarten (Dutch part),SXM,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
226,Seychelles,SYC,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
227,Syrian Arab Republic,SYR,"Railways, passengers carried (million passenger-km)",,,1223.0,,,,,,,,
228,Turks and Caicos Islands,TCA,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
229,Chad,TCD,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
230,East Asia & Pacific (IDA & IBRD countries),TEA,"Railways, passengers carried (million passenger-km)",6301.5,,,,4233.88,2880.095132,4838.5,,,,
231,Europe & Central Asia (IDA & IBRD countries),TEC,"Railways, passengers carried (million passenger-km)",1486.0,1104.0,948.0,1314.5,951.0,836.0,745.0,1479.0,,,
232,Togo,TGO,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
233,Thailand,THA,"Railways, passengers carried (million passenger-km)",8032.0,,,,6181.0,,6020.0,,,,
234,Tajikistan,TJK,"Railways, passengers carried (million passenger-km)",31.5,24.0,,18.0,16.0,18.4,28.0,33.0,,,
235,Turkmenistan,TKM,"Railways, passengers carried (million passenger-km)",1811.0,1811.0,,1811.0,2326.0,2336.0,2340.0,,,,
236,Latin America & the Caribbean (IDA & IBRD countries),TLA,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
237,Timor-Leste,TLS,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
238,Middle East & North Africa (IDA & IBRD countries),TMN,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
239,Tonga,TON,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
240,South Asia (IDA & IBRD),TSA,"Railways, passengers carried (million passenger-km)",14335.5,8787.0,8253.0,19779.0,14499.5,21201.0,,,,,
241,Sub-Saharan Africa (IDA & IBRD countries),TSS,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
242,Trinidad and Tobago,TTO,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
243,Tunisia,TUN,"Railways, passengers carried (million passenger-km)",1113.6,,,1298.0,1246.0,1235.0,1164.0,1109.0,,,
244,Turkiye,TUR,"Railways, passengers carried (million passenger-km)",7122.0,6361.0,6225.0,7401.0,8326.0,7829.0,8465.0,8938.0,,,
245,Tuvalu,TUV,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
246,Tanzania,TZA,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
247,Uganda,UGA,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
248,Ukraine,UKR,"Railways, passengers carried (million passenger-km)",50593.0,49329.0,48981.0,35865.0,35367.0,36839.0,28075.0,28685.0,,,
249,Upper middle income,UMC,"Railways, passengers carried (million passenger-km)",1351.0,,,1426.0,1552.0,1469.5,1550.0,,,,
250,Uruguay,URY,"Railways, passengers carried (million passenger-km)",,,,8.0,8.0,,,,,,
251,United States,USA,"Railways, passengers carried (million passenger-km)",32579.5102,34125.70066,36047.10494,36393.10649,36043.87568,35892.15736,33255.54261,31962.70664,,,
252,Uzbekistan,UZB,"Railways, passengers carried (million passenger-km)",3025.0,3437.8,,3760.0,3758.0,3934.0,4294.0,4329.0,,,
253,St. Vincent and the Grenadines,VCT,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
254,"Venezuela, RB",VEN,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
255,British Virgin Islands,VGB,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
256,Virgin Islands (U.S.),VIR,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
257,Vietnam,VNM,"Railways, passengers carried (million passenger-km)",4571.0,4558.0,4548.0,4252.58,4233.88,3416.0,3657.0,3542.0,,,
258,Vanuatu,VUT,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
259,World,WLD,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
260,Samoa,WSM,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
