,Country Code,Country Name,Indicator Name,2018
186,THA,Thailand,"International tourism, expenditures (current US$)",14675000000.0
187,TJK,Tajikistan,"International tourism, expenditures (current US$)",24200000.0
188,TLA,Latin America & the Caribbean (IDA & IBRD countries),"International tourism, expenditures (current US$)",76642844466.8515
189,TLS,Timor-Leste,"International tourism, expenditures (current US$)",131000000.0
190,TON,Tonga,"International tourism, expenditures (current US$)",41200000.0
191,TSA,South Asia (IDA & IBRD),"International tourism, expenditures (current US$)",34040000000.0
192,TSS,Sub-Saharan Africa (IDA & IBRD countries),"International tourism, expenditures (current US$)",33969444202.6706
193,TTO,Trinidad and Tobago,"International tourism, expenditures (current US$)",149000000.0
194,TUN,Tunisia,"International tourism, expenditures (current US$)",954000000.0
195,TUR,Turkey,"International tourism, expenditures (current US$)",4993000000.0
196,TZA,Tanzania,"International tourism, expenditures (current US$)",818000000.0
197,UGA,Uganda,"International tourism, expenditures (current US$)",334000000.0
198,UKR,Ukraine,"International tourism, expenditures (current US$)",8287000000.0
199,UMC,Upper middle income,"International tourism, expenditures (current US$)",484705416801.851
200,URY,Uruguay,"International tourism, expenditures (current US$)",1309000000.0
201,USA,United States,"International tourism, expenditures (current US$)",186508000000.0
202,UZB,Uzbekistan,"International tourism, expenditures (current US$)",2722000000.0
203,VCT,St. Vincent and the Grenadines,"International tourism, expenditures (current US$)",48000000.0
204,VNM,Vietnam,"International tourism, expenditures (current US$)",5910000000.0
205,VUT,Vanuatu,"International tourism, expenditures (current US$)",21000000.0
206,WLD,World,"International tourism, expenditures (current US$)",1575315874117.63
207,WSM,Samoa,"International tourism, expenditures (current US$)",4200000.0
208,ZAF,South Africa,"International tourism, expenditures (current US$)",6348000000.0
209,ZMB,Zambia,"International tourism, expenditures (current US$)",478000000.0
