,code,iso,country,EPI.new,HLT.new,ECO.new,BDH.new,CCH.new
151,705,SVN,Slovenia,72.0,68.9,74.1,86.4,75.2
152,752,SWE,Sweden,78.7,98.4,65.6,72.5,77.2
153,748,SWZ,Eswatini,33.8,17.6,44.6,38.4,56.9
154,690,SYC,Seychelles,58.2,50.8,63.1,78.9,70.7
155,148,TCD,Chad,26.7,14.9,34.6,69.0,17.4
156,768,TGO,Togo,29.5,16.4,38.2,64.2,34.4
157,764,THA,Thailand,45.4,48.4,43.5,53.0,52.5
158,762,TJK,Tajikistan,38.2,20.7,49.9,65.8,36.9
159,795,TKM,Turkmenistan,43.9,45.0,43.1,39.7,36.4
160,626,TLS,Timor-Leste,35.3,28.9,39.5,64.5,23.4
161,776,TON,Tonga,45.1,43.6,46.0,37.3,56.6
162,780,TTO,Trinidad and Tobago,47.5,54.6,42.9,67.8,42.1
163,788,TUN,Tunisia,46.7,49.2,45.0,37.1,60.2
164,792,TUR,Turkey,42.6,51.3,36.9,15.1,49.3
165,158,TWN,Taiwan,57.2,59.2,55.8,65.0,63.1
166,834,TZA,Tanzania,31.1,27.4,33.5,70.7,18.7
167,800,UGA,Uganda,35.6,25.7,42.2,81.4,27.4
168,804,UKR,Ukraine,49.5,49.0,49.9,37.7,69.2
169,858,URY,Uruguay,49.1,67.7,36.7,25.0,55.5
170,840,USA,United States of America,69.3,82.8,60.3,67.5,71.4
171,860,UZB,Uzbekistan,44.3,29.7,54.1,37.6,65.9
172,670,VCT,Saint Vincent and the Grenadines,48.4,44.1,51.3,47.6,70.2
173,862,VEN,Venezuela,50.3,46.5,52.9,75.1,63.3
174,704,VNM,Viet Nam,33.4,40.6,28.5,33.3,30.7
175,548,VUT,Vanuatu,28.9,26.7,30.4,30.0,32.0
176,882,WSM,Samoa,37.3,42.4,33.9,29.9,35.0
177,710,ZAF,South Africa,43.1,31.1,51.0,63.2,62.8
178,894,ZMB,Zambia,34.7,21.0,43.9,90.4,26.5
179,716,ZWE,Zimbabwe,37.0,22.5,46.7,87.0,37.0
