,ISO3Code (v. 10),Indicator,SYS_AIR,SYS_AIR.1,SYS_AIR.2,SYS_AIR.3,SYS_BIO,SYS_BIO.1,SYS_BIO.2,SYS_BIO.3,SYS_BIO.4,SYS_LAN,SYS_LAN.1,SYS_WQL,SYS_WQL.1,SYS_WQL.2,SYS_WQL.3,SYS_WQN,SYS_WQN.1,STR_AIR,STR_AIR.1,STR_AIR.2,STR_AIR.3,STR_AIR.4,STR_ECO,STR_ECO.1,STR_POP,STR_POP.1,STR_WAS,STR_WAS.1,STR_WAS.2,STR_WAT,STR_WAT.1,STR_WAT.2,STR_WAT.3,STR_NRM,STR_NRM.1,STR_NRM.2,STR_NRM.3,STR_NRM.4,VUL_HEA,VUL_HEA.1,VUL_HEA.2,VUL_SUS,VUL_SUS.1,VUL_DIS,VUL_DIS.1,CAP_GOV,CAP_GOV.1,CAP_GOV.2,CAP_GOV.3,CAP_GOV.4,CAP_GOV.5,CAP_GOV.6,CAP_GOV.7,CAP_GOV.8,CAP_GOV.9,CAP_GOV.10,CAP_GOV.11,CAP_EFF,CAP_EFF.1,CAP_PRI,CAP_PRI.1,CAP_PRI.2,CAP_PRI.3,CAP_PRI.4,CAP_ST,CAP_ST.1,CAP_ST.2,CAP_ST.3,CAP_ST.4,GLO_COL,GLO_COL.1,GLO_COL.2,GLO_GHG,GLO_GHG.1,GLO_TBP,GLO_TBP.1
0,,Country (alphabetical order),NO2,SO2,TSP,INDOOR,ECORISK,PRTBRD,PRTMAM,PRTAMPH,NBI,ANTH10,ANTH40,WQ_DO,WQ_EC,WQ_PH,WQ_SS,WATAVL,GRDAVL,NOXKM,SO2KM,VOCKM,COALKM,CARSKM,FOREST,ACEXC,GR2050,TFR,EFPC,RECYCLE,HAZWST,BODWAT,FERTHA,PESTHA,WATSTR,OVRFSH,IRRSAL,FORCERT,WEFSUB,AGSUB,DISINT,DISRES,U5MORT,UND_NO,WATSUP,DISCAS,DISEXP,PRAREA,GASPR,CSDMIS,KNWLDG,IUCN,AGENDA21,GRAFT,LAW,CIVLIB,WEFGOV,GOVEFF,POLITY,ENEFF,RENPC,DJSGI,ECOVAL,ISO14,WEFPRI,RESCARE,INNOV,DAI,PECR,ENROL,RESEARCH,EIONUM,FUNDING,PARTICIP,CO2GDP,CO2PC,SO2EXP,POLEXP
104,ISR,Israel,35.55,16.82,..,0,34.94,6.67,12.93,0,0.6,0.67,21.65,..,..,..,..,0.62,0.07,0.76,3.31,2.34,11.2,83.32,4.9,0,56,2.93,3.97,..,325439,15.63,2633.14,5.7,97.62,6,..,0,4.67,..,1.41,0,6,1,100,0.09,0.35,19.1,1.48,34.78,32,0.61,0.46,1.08,0.97,2,41.67,1.02,10.4,5.88,0.01,..,0,0.87,10.9,2,4.8,0.7,..,52.67,1563.29,6,..,0.92,154.62,10.45,..,16.38
105,ITA,Italy,72.01,1.33,104.5,0,72.65,2.14,15.56,16.67,0.51,0.53,17.76,9.77,505.52,0.14,..,2.14,0.74,4.63,2.56,5.1,1.71,144.98,0.3,17.94,-10,1.29,3.26,40,4279233,4.04,2057.02,1.16,32.1,5,..,0.7,4.81,5,0.08,0.38,6,1,94.1,0.24,0.31,11.2,1.72,13.04,15,0.38,7.44,0.8,0.82,1,46.02,0.91,10,4.76,7.17,0.29,-0.6,2.05,12.9,4,3.33,0.72,100,35.1,1127.85,20,8,0.94,96.74,8.01,758,27.09
106,JAM,Jamaica,..,..,..,47,75.76,10.62,20.83,80.95,0.67,0.13,17.2,..,..,..,..,3.49,1.47,2.8,8.95,2.98,0.12,17.81,-1.5,0,39,2.42,2.15,..,..,2.02,672.41,5.8,5.11,3,0,0,4.53,0,..,..,20,9,93,2.79,1.01,15.9,0.85,21.74,..,1.53,1.91,-0.46,-0.38,2.5,32.88,-0.07,9,13.66,1.46,..,..,0.1,11.16,0,2.1,0.53,99,16.44,..,8,45.51,0.58,548.6,4.18,..,18.39
107,JPN,Japan,55,19,40,0,49.7,14,19.68,36.36,0.64,1,21.96,9.8,163.43,0.06,2.3,2.62,0.21,5.59,2.26,5.1,9.62,197.11,..,10.99,-21,1.28,3.91,78,2652000,4.06,3046.12,..,13.87,7,0,0.81,4.93,6,0.67,0,5,1,100,0.57,1.3,14,1.49,10.87,74.67,0.15,0.87,1.2,1.41,1.5,51.21,1.07,10,6.07,4.87,..,1.55,4.03,14.24,4,5.49,0.75,..,47.7,5320.77,19,100,0.85,56.88,9.54,142,18.12
108,JOR,Jordan,..,..,..,10,10.76,5.67,12.68,0,0.47,46.61,1.65,10.5,1245.83,..,4.5,0.37,0.09,3.49,2.71,1.42,0,16.23,0,0,80,3.67,1.39,0,17390,10.43,942.62,1.4,81.2,5,0.57,0,4.9,0,..,..,33,6,91,0.26,0.95,10.9,0.85,15.22,57,2.13,0.77,0,0.33,5.5,41.21,0.36,-2,9.78,0.22,..,..,0.73,11.18,0,2.44,0.45,100,28.62,1948.37,8,95.51,0.83,540.61,3.09,..,21.87
109,KAZ,Kazakhstan,..,0.04,0.5,51,40.92,3.79,9.55,9.09,0.44,55.55,0.39,..,..,..,..,9.54,0.41,0.29,0.58,0.46,1.19,2.2,2.2,0,-1,2.03,3.75,..,..,..,23.4,0.3,57.14,..,1.12,0,..,0,3.35,22.4,76,22,86,0.03,0.13,2.9,0.57,26.09,32.33,0.27,..,-1.05,-0.9,5.5,..,-0.8,-5,22.63,4.21,..,..,0.05,..,0,..,0.41,100,30.92,715.8,4,51.28,0.5,1436.89,7.76,236.99,..
110,KEN,Kenya,..,..,69,85,2.17,2.83,13.93,5.26,0.64,45.95,0.31,..,..,..,..,2.65,0.09,0.22,0.16,2.32,0.01,1.81,-0.5,0,54,5,1.08,1,..,0.75,314.44,0.3,1.09,6,..,0,3.8,0,..,..,122,37,62,0.66,0.86,12.3,1.15,21.74,..,0.29,0.35,-1.05,-1.04,4,27.79,-0.85,-1.2,4.62,26.11,..,..,0.03,10.22,0,1.68,0.19,100,3,..,15,61.54,0.75,258.31,0.31,..,27.2
111,KIR,Kiribati,..,..,..,..,0,..,..,..,..,4.4,0,..,..,..,..,..,..,0,..,..,0,..,0,0,133,4.3,..,..,..,..,..,..,..,3,..,0,..,0,..,..,69,..,64,..,0.19,0,..,..,..,0,..,-0.44,0.33,1,..,0.06,..,..,0,..,..,0,..,0,..,..,..,..,..,0,66.03,0.43,115.65,0.31,..,..
112,KWT,Kuwait,..,..,..,0,0,35,4.76,..,0.22,0.05,10.47,..,..,..,..,-0.01,0,1.05,7.12,7.08,0,43.08,3.5,0,182,4.04,8.01,0,24534.4,-495.79,804.62,4.6,100,3,34,0,..,0,2.1,..,10,4,..,0.06,0.18,0,0.33,36.96,48.67,1.29,0.43,1.06,0.81,4.5,..,0.16,-7,23.89,0,..,..,0.08,..,0,..,0.51,95,21.08,212.08,8,..,0.6,474.16,21.33,..,..
113,KGZ,Kyrgyzstan,..,..,..,96,55.57,..,8.43,0,0.41,18.23,1.08,..,..,..,..,6.14,2.69,0.08,0.27,0.77,0.13,1.23,2.6,0,62,2.59,1.1,0,6779859.35,0.73,50,1.8,93.62,..,4.18,0,..,0,15.91,..,61,7,76,0.02,0.06,3.6,0.64,30.43,40.33,0.2,..,-0.84,-0.83,5.5,..,-0.81,-3,26.83,46.68,..,..,0,..,0,..,0.32,100,41.1,581.27,2,11.54,0.42,580.11,0.94,..,19.66
114,LAO,Laos,..,..,..,95,84.77,4.11,18.02,6.15,0.62,6.92,0.25,6.96,20.88,0.12,4.4,74.99,6.55,0.07,0.11,1.03,0,..,-0.4,29.22,98,4.88,1.09,..,..,..,140.06,0.1,0,..,0,0,..,0,..,..,100,22,43,1.35,0.79,18.8,0.59,32.61,..,0.18,..,-1.25,-1.05,6.5,..,-0.8,-7,3.98,87.48,..,..,0,..,0,..,0.15,100,3.32,..,1,76.92,0.38,47.5,0.08,0.82,..
115,LVA,Latvia,22.99,6.33,63.8,4,100,1.38,6.02,0,0.42,0.55,3.61,8.58,685.59,0.04,..,13.11,0.95,0.61,0.3,1.79,..,11.53,0.4,1.95,-24,1.3,4.4,0,92800,0.76,347.89,0.2,0.3,5,0,57.68,4.63,0,0.4,0.84,21,6,..,0,..,15.1,1.15,26.09,49.33,0.43,2.14,0.09,0.46,1.5,42.34,0.67,..,8.43,16.16,..,..,0.93,11.04,0,3.52,0.54,90,63.11,1078.24,5,26.92,0.65,264.29,3.32,13.37,26.7
116,LBN,Lebanon,..,..,..,9,100,4.55,10.53,0,0.57,0,18.08,..,..,..,..,0.88,0.71,5.25,8.07,35.09,0.51,139.11,-0.4,0,53,3.2,2.37,6,50000,4.23,3210.77,5.6,84.91,4,..,0,..,0,..,..,32,3,100,0,1.02,0.7,1.07,34.78,..,1.35,1.35,-0.34,-0.27,5.5,..,-0.41,..,11.09,1.09,..,..,0.26,..,0,..,0.48,96,42.31,..,8,64.1,0.56,332.42,4.36,..,21.3
117,LSO,Lesotho,..,..,..,85,20.28,12.07,18.18,0,0.42,0.54,0.28,..,..,..,..,..,..,0.16,..,0.59,0,..,0,0,23,4.4,..,..,..,..,343.67,..,..,..,0,0,..,0,..,..,87,25,76,..,0.83,0.2,0.82,32.61,..,0,..,-0.28,0.48,2.5,..,-0.26,5,1.39,50.22,..,..,0,..,0,..,0.19,100,2.58,..,3,52.56,0.6,..,..,..,..
118,LBR,Liberia,..,..,..,83,100,2.96,8.29,7.27,0.56,8.13,0.06,..,..,..,..,75.03,17.21,0.27,0.11,1.65,0,0.37,-2,0,182,6.8,0.85,0,..,..,0,..,0,3,..,0,..,0,..,..,235,42,62,0.19,..,15.8,..,58.7,..,0,..,-0.98,-1.42,6,..,-1.51,0,..,0,..,..,0,..,0,..,..,49,7.07,..,9,9.62,0.48,182.17,0.14,..,..
119,LBY,Libya,..,..,..,3,0.77,1.1,10.53,0,0.24,92.46,0.27,..,..,..,..,1.43,0.09,6.34,3.22,18.9,0,11.74,1.4,0,92,3.57,3.21,20,..,..,308.54,..,83.69,3,..,0,..,0,..,..,19,0,72,0,0.33,0.1,0.16,43.48,..,0.18,0.37,-0.82,-0.91,7,..,-0.87,-7,..,0,..,..,0,..,0,..,0.42,..,48.79,..,10,1.92,0.54,445.46,10.92,..,..
120,LIE,Liechtenstein,..,..,..,..,30.5,..,..,0,..,0,33.14,..,..,..,..,..,..,1.84,0.11,2.37,..,..,1.2,0,18,1.47,..,..,..,..,..,..,..,..,..,100,..,0,..,..,11,..,..,..,1,37.4,1.46,..,..,60.98,..,1.29,0.23,1,..,1.63,..,..,..,..,..,17.6,..,0,..,..,..,..,..,0,..,0.65,..,..,..,..
121,LTU,Lithuania,22,6,31.9,8,100,1.98,8.82,0,0.42,0,5.79,3.86,607,0.08,..,8.24,0.35,0.18,1.69,1.42,0.05,21.37,0.2,0,-9,1.27,3.87,..,111385,1.19,552.9,0.2,0.28,5,0,40.29,4.42,0,0.03,0,10.4,0,..,0,..,9.1,1.13,23.91,59.33,0.58,4.04,0.25,0.48,1.5,40.96,0.61,10,11.89,7.89,..,..,2.01,10.79,0,3.14,0.56,98.9,35,2303.2,4,51.92,0.73,360.14,4.4,48.77,..
122,LUX,Luxembourg,..,..,..,..,100,..,..,0,..,0,27.34,10.49,466.5,0.41,..,..,..,6.49,1.15,4.96,1.65,125.72,-0.2,0,56,1.63,5.11,..,101353,..,..,..,..,..,..,0,5.72,7,0.96,0,5,..,100,..,0.68,17,1.25,39.13,..,4.5,155.41,2,0.46,1,54.21,2.13,..,5.91,1.07,..,..,1.18,12.48,0,2.68,0.75,100,9.27,..,16,12,1,90.4,12.42,3,17.82
123,MAC,Macao,..,..,..,..,100,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,0,3838.5,..,0,24,0.84,..,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,2,0,1.2,69.57,..,0,..,..,0.11,..,..,0.82,..,2.59,0,..,..,0.23,..,0,..,0.64,92,52.11,..,0,..,0,66.8,3.64,..,7.07
124,MKD,Macedonia,..,24.23,..,12,100,1.43,14.1,0,0.55,3.44,6.63,8.83,..,0.02,..,2.87,..,0.15,0.9,1.3,2.89,13.89,0,97.48,3,1.73,2.69,..,15000,4.16,535.34,0.8,0,..,..,0,3.35,0,3.48,3.33,26,10,..,0,0.34,7.9,1.39,43.48,..,0,..,-0.73,-0.41,3,26.16,-0.39,7.3,7.89,10.33,..,..,0.08,9.27,0,2.12,0.48,98,24.45,..,1,..,0.49,593.02,5.53,136.53,19.99
125,MDG,Madagascar,..,..,..,99,45.35,13.37,35.46,24.77,0.81,20.45,0.04,..,..,..,..,20.17,3.14,0.11,0.04,0.71,0,0.15,-0.9,0,274,5.77,0.97,..,..,..,22.97,..,0.43,4,..,0,3.74,0,..,..,135,36,45,4.65,0.99,3.1,1.77,23.91,17.33,0.06,0.3,0.14,-0.19,3.5,28.59,-0.38,6.9,2.21,19.2,..,..,0,9.47,0,1.55,0.15,100,2.16,15.03,8,75.64,0.79,162.3,0.14,..,10.09
126,MWI,Malawi,..,..,..,99,10.56,2.11,4.1,6.58,0.63,24.28,0.33,..,..,..,..,6.57,0.12,0.16,0.05,1.46,0.01,0.43,-2.4,0,296,6.6,0.64,..,640550,0.2,103.44,0.3,0,..,..,0,4.33,0,..,..,182,33,67,2.36,0.08,16.3,1.08,34.78,..,0.19,0.37,-0.91,-0.34,4,33.61,-0.68,6.1,3.4,48.12,..,..,0.48,11.74,0,1.49,0.15,100,..,..,10,74.36,0.63,120.85,0.07,..,22.11
127,MYS,Malaysia,..,20.49,91.58,29,83.27,7.28,16.67,22.61,0.81,29.48,2.94,..,..,..,..,20.24,2.5,0.21,1.6,1.87,0.32,1.83,-1.2,0,83,3.29,2.99,10,420198,0.38,6281.76,1.5,3.05,5,..,0.4,4.62,0,2.39,2.45,8,0,95,0.84,0.72,30.6,0.57,23.91,32.33,0.25,0.37,0.38,0.58,5,44.01,0.92,2.2,9.94,2.92,0.03,0,1.66,12.84,4,2.66,0.57,93,28.16,159.93,11,100,0.77,352.28,6.28,40.1,21.32
128,MDV,Maldives,..,..,..,..,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,69,3.72,..,..,..,..,..,..,..,5,..,0,..,0,..,..,77,..,84,..,..,0,..,..,..,0,..,0.04,-0.22,5.5,..,0.78,..,..,0,..,..,0,..,0,..,0.43,91,..,..,0,96.79,0.51,228.39,1.71,..,20.32
129,MLI,Mali,..,..,..,100,58.24,1.01,9.49,0,0.38,64.55,0.04,8.47,120.77,0.15,..,7.02,1.49,..,..,..,0,0.11,-0.7,0,243,7,1.16,0,..,..,90.13,0.1,11.87,..,..,0,3.33,0,..,..,222,21,48,0.18,0,3.7,1.13,32.61,..,0.62,0.18,-0.32,-0.54,2.5,26.58,-0.84,5.4,1.19,38.28,..,..,0,10.37,0,1.42,0.09,54,1.91,..,13,85.26,0.75,51.13,0.05,..,..
130,MLT,Malta,..,..,..,..,100,..,..,0,..,0,0,..,..,..,..,..,..,..,..,..,24.8,861.17,..,0,-9,1.46,..,..,..,..,777.78,11,..,3,0,0,3.68,0,0.32,0,5,..,100,..,1,19,1.43,41.3,..,5.04,..,0.8,-1.62,1,28.51,1.16,..,5.01,0,..,..,0.57,9.9,0,2.31,0.67,100,25.07,..,3,10.9,0.7,189.62,7.24,25.6,..
131,MHL,Marshall Islands,..,..,..,..,0,..,..,..,..,12.9,0,..,..,..,..,..,..,..,..,..,..,..,..,0,81,4.69,..,..,..,..,..,..,..,1,..,0,..,0,..,..,66,..,85,..,..,..,..,..,..,0,..,-0.02,-0.41,1,..,-0.41,..,..,..,..,..,0,..,0,..,..,100,..,..,1,70.51,0.46,..,..,..,..
132,MTQ,Martinique,..,..,..,..,0,..,..,50,..,0,54.9,..,..,..,..,..,..,..,..,..,0,101.62,0,0,5,2,..,..,..,..,..,..,..,4,..,0,..,0,..,..,..,..,..,..,0.22,3.9,..,..,..,..,..,0.84,0.89,..,..,0.82,..,..,0,..,..,0,..,0,..,..,..,..,..,0,..,0,..,..,..,..
133,MRT,Mauritania,..,..,..,69,36.07,0.73,16.39,0,0.34,93.84,0.02,..,..,..,..,8.25,0.1,0.2,0.18,1.02,0,0.74,-2.7,0,152,5.9,2.36,1,..,..,40.98,..,5.15,3,..,0,..,0,..,..,183,10,56,57.86,0,0.2,1.03,..,..,0.72,0.36,0.23,-0.33,5,..,-0.16,-6,7.74,1,..,..,0,..,0,..,0.14,100,3.66,..,8,66.67,0.52,642.69,1.16,..,..
134,MUS,Mauritius,..,..,..,75,0,..,..,..,..,1.41,32.86,..,..,..,..,..,..,7.58,16.11,8.79,0.73,138.74,-0.6,0,22,1.94,3.25,..,..,..,6350.7,22.21,..,3,..,0,3.86,0,4.61,2.02,17.3,5,100,..,0.96,3.4,1.11,36.96,..,1.65,..,0.53,-0.34,1.5,39.34,0.53,10,4.11,7.8,..,..,0.38,11.17,0,1.9,0.5,100,16.4,..,8,94.87,0.75,160,2.44,..,18.87
135,MYT,Mayotte,..,..,..,..,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,219,..,..,..,..,..,..,..,..,2,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,0,..,0,..,..,..,..
136,MEX,Mexico,56.02,46.6,52.55,22,23.1,5.18,14.66,54.42,0.93,24.17,2.5,6.1,1239.63,0.1,5.17,4.62,1.31,0.78,0.9,0.61,0.2,12.18,-1.1,0.68,41,2.8,2.59,13,2074288,0.7,753.91,..,44.64,5,1.41,1.16,4.06,3,15.91,0.02,29,5,91,2.34,0.69,5,1.02,13.04,10.33,0.12,0.02,-0.19,-0.22,2,37.56,0.15,6.4,6.94,5.47,0,-0.15,0.45,10.31,4,2.25,0.5,100,20.71,224.73,15,68.59,0.85,310.61,4.29,..,31.09
137,FSM,Micronesia,..,..,..,..,9.51,..,..,..,..,2.95,0,..,..,..,..,..,..,2.96,0.78,1.61,..,..,-4.5,0,46,4.44,..,..,291,..,..,..,..,..,..,0,..,0,..,..,24,..,94,..,0.89,0,..,..,..,0,..,-0.44,-0.27,1.5,..,-0.29,..,..,..,..,..,0,..,0,..,..,..,14.86,..,1,55.77,0.5,..,..,..,..
138,MDA,Moldova,0.01,0,1.08,14,100,2.82,8.82,0,0.45,0,6.03,..,..,..,..,5.77,0.1,1.7,3.11,1.88,0.1,7.7,0.2,0,-28,1.21,1.13,..,11879,1.37,28.02,1.1,8.02,..,..,0,..,0,0.94,8.6,32,12,92,0.62,..,1.4,0.74,23.91,50.33,0.47,..,-0.89,-0.49,3.5,..,-0.63,8.2,24.88,1.98,..,..,0,..,0,..,0.37,92,27.91,329.49,3,41.67,0.58,1159.35,1.54,12,15.94
139,MCO,Monaco,..,..,..,..,100,..,..,0,..,0,100,..,..,..,..,..,..,67.83,10.6,87.97,..,..,..,0,27,0,..,..,348.98,..,..,..,..,1,..,0,..,0,..,..,5,..,..,..,..,0,..,..,..,62.5,..,..,-0.49,1.5,..,0,..,..,..,..,..,4.04,..,0,..,..,..,..,..,3,..,0.36,..,2.1,..,..
140,MNG,Mongolia,..,..,..,67,38.72,3.76,10.53,0,0.36,91.93,0.01,..,..,..,..,28.26,2.42,0.31,0.43,0.58,4.67,..,-0.5,0,72,2.66,5.68,0,4450000,0.12,26.69,..,2.86,..,..,0,..,0,..,..,71,38,62,0,0.03,14,0.62,..,..,0.41,8.98,-0.14,0.36,2,..,-0.18,10.7,18.95,0,..,..,0,..,0,..,0.35,100,32.68,..,4,94.23,0.64,1992.23,3,0.69,..
141,MSR,Montserrat,..,..,..,..,0,..,..,50,..,0,0,..,..,..,..,..,..,..,..,..,0,..,0,0,-20,..,..,..,..,..,..,..,..,1,..,0,..,0,..,..,12,..,100,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,..,0,..,..,..,..,..,0,5.13,0,..,12.22,..,..
142,MAR,Morocco,..,..,..,11,59.8,4.29,15.24,16.67,0.46,17.9,2.04,6.34,1620.58,0.46,5.31,0.68,0.33,0.41,0.8,0.52,0.28,4.41,..,0,47,2.47,0.92,0,987000,4.94,411.66,1,82.26,6,..,0,3.88,1,..,..,43,7,80,1.4,0.54,1.2,1.43,19.57,..,0.2,0.17,-0.04,0.11,5,30.73,0.07,-5.5,3.86,1.85,..,..,0.1,9.94,3,1.95,0.33,100,10.3,..,15,69.23,0.75,253.75,1.26,..,22.17
143,MOZ,Mozambique,..,..,..,87,0.04,3.21,8.38,4.48,0.52,31.55,0.12,..,..,..,..,18.2,0.89,0.13,0.13,0.93,0,0.23,-0.2,0,63,5.5,0.56,0,..,0.04,62.25,..,12.23,3,..,0,3.68,0,..,..,205,53,42,361.13,0.66,5.7,0.75,23.91,..,0.11,0.11,-1.01,-0.65,3.5,25.27,-0.41,5.8,4.93,87.52,..,..,0.05,9.09,0,1.46,0.12,100,0.57,..,6,67.31,0.55,95.24,0.07,..,..
144,MMR,Myanmar,..,..,..,100,88.82,4.04,15.54,0,0.63,16.8,0.62,..,..,..,..,22.21,3.11,0.19,0.09,1.07,0.02,0.46,-1.4,0.77,29,3.08,0.76,14,..,0,164.36,..,0,5,..,0,..,0,..,..,108,7,80,0.2,0.9,5.4,0.59,36.96,..,0,..,-1.37,-1.62,7,..,-1.29,-7,..,..,..,..,0.03,..,0,..,0.17,100,11.53,..,4,10.26,0.39,33.5,0.19,2.36,..
145,NAM,Namibia,..,..,..,83,9.96,2.35,5.6,2.08,0.55,91.1,0.04,..,..,..,..,54.75,1.1,1.84,0.87,9.4,0,..,-0.9,0,35,4.2,2.52,4.5,..,0.08,3.68,0.1,17.15,4,..,1.03,4.46,0,..,..,67,7,80,0,0.34,5.6,0.74,36.96,..,1.01,2.52,0.21,0.45,2.5,37.35,0.18,6,3.77,23.64,..,..,0.32,11.26,0,1.82,0.39,98,5.94,..,5,97.44,0.68,119.58,0.96,..,31.6
146,NRU,Nauru,..,..,..,..,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..,0,..,..,0,92,4.4,..,..,..,..,..,..,..,3,..,0,..,0,..,..,30,..,..,..,1,0,..,..,..,..,..,..,1.91,1.5,..,0,..,..,0,..,..,0,..,0,..,..,..,..,..,0,37.82,0.43,..,11.14,..,..
147,NPL,Nepal,..,..,..,97,75.66,4.09,16.02,6.52,0.64,7.16,1.08,..,..,..,..,6.63,0.81,0.93,0.05,2.07,0.08,1.81,-1.8,0,105,4.1,0.57,15.9,575,0.2,226.71,..,97.47,..,0,0,..,0,..,..,87,17,84,10.92,0.99,18.1,1.08,23.91,..,0.5,0.17,-0.3,-0.5,4,..,-0.51,3.4,1.72,30.71,..,..,0.03,..,0,..,0.19,50.7,4.62,..,4,91.67,0.57,166.61,0.14,18.8,..
148,NLD,Netherlands,58,5.15,38.65,0,100,2.09,18.18,0,0.41,0,28.3,9.78,623.12,0.27,3.26,5.98,0.28,10.15,2.19,6.77,11.72,166.94,0.3,43.81,8,1.78,3.81,78,2835620,1.34,4519.34,8,43.19,5,0,29.5,5.56,7,0.07,0.03,5,1,100,0,..,26.2,1.84,2.17,48.67,1.98,6.19,2.15,1.83,1,56.96,2.14,10,7.9,1.19,0.79,1.54,2.47,13.09,4,4.04,0.79,97,55.01,2572.22,22,84,0.95,76.17,11.25,88.93,23.13
149,ANT,Netherlands Antilles,..,..,..,..,53.9,..,..,0,..,4.32,0,..,..,..,..,..,..,..,..,..,0,..,0,0,11,2.11,..,..,..,..,..,..,..,1,..,0,..,0,..,..,..,..,..,..,0.18,0,..,69.57,..,0,..,..,..,..,..,..,..,..,0,..,..,0,..,0,..,..,93,14.84,..,1,..,0,..,46.16,..,..
150,NCL,New Caledonia,..,..,..,..,0,..,..,..,..,1.54,0.44,..,..,..,..,..,..,..,..,..,0.21,4.54,0,0,60,2.6,..,..,..,..,1285.71,..,..,1,..,0,..,0,..,..,..,..,..,..,0.98,7.1,..,67.39,..,0,..,..,..,..,..,..,..,..,12.84,..,..,0,..,0,..,..,..,..,..,0,..,0,122.72,..,..,..
151,NZL,New Zealand,22.5,15,25,0,67.34,42,80,100,0.52,48.04,1.93,10.72,111.54,0.05,..,79.88,..,3.3,0.97,3.3,0.52,40.56,0.5,0,26,1.96,8.13,65,479000,0.16,5927.8,1,0.44,5,..,7.93,5.08,1,0.1,0.26,5.28,1,..,0.22,0.36,24.4,0.9,13.04,8,1.78,9.39,2.28,1.91,1,53.36,1.97,10,9.72,34.59,0,0.04,1.17,11.6,4,4.02,0.72,..,69.24,2197.19,8,68,0.82,126.63,8.5,..,31.16
152,NIC,Nicaragua,32,..,..,73,70.28,1.04,3,14.71,0.64,18.62,1.19,..,..,..,..,32.07,10.49,0.37,0.05,0.41,0,1.92,-3,0,93,3.75,1.57,..,..,..,117.39,2.4,0.69,3,0,0.51,3.02,0,37.72,0.04,41,29,81,3739.6,1.08,21.8,0.89,21.74,38.67,1.31,0.94,-0.44,-0.63,3,24.08,-0.87,8.6,4.44,12.26,..,..,0,7.92,0,1.72,0.19,100,..,72.67,10,90.38,0.71,400.16,0.74,..,23.56
153,NER,Niger,..,..,..,98,46.9,1,8.4,0,0.41,77.06,0.02,..,..,..,..,8.15,0.2,0.16,0.09,1.01,0.01,0.23,-3.7,0,327,8,1.15,..,23782,..,11.1,..,1.21,..,..,0,..,0,..,..,264,34,46,0.47,0.33,8.2,1.26,34.78,..,0.18,..,-1.1,-0.78,4,..,-0.79,1.2,1.78,0,..,..,0.11,..,0,..,0.04,48,1.47,..,0,71.79,0.76,149.3,0.11,..,14.56
154,NGA,Nigeria,..,..,..,67,95.28,1.32,9.85,12.62,0.55,0.81,0.57,..,..,..,..,2.95,0.63,0.24,0.19,3.8,0,0.07,-2.6,0,124,5.7,1.1,..,589,0.25,77.54,..,0,6,0,0,3.05,0,..,..,201,8,60,0.12,0.28,6,0.33,21.74,..,0.03,0.04,-1.35,-1.35,4.5,25.61,-1.12,-0.7,7.8,7.46,..,..,0.09,10.64,0,1.66,0.15,100,..,..,18,34.62,0.48,305.31,0.32,..,18.23
155,NIU,Niue,..,..,..,..,0,..,..,..,..,0,0,..,..,..,..,..,..,97.38,8281.06,131.09,0,..,0,0,22,3.04,..,..,..,..,..,..,..,2,..,0,..,0,..,..,..,..,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,..,0,..,..,100,..,..,0,91.03,0.32,..,1.82,..,..
156,NFK,Norfolk Island,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,0,..,0,..,..,..,..
157,PRK,North Korea,..,..,..,68,23.09,16.52,..,7.69,0.37,0.09,0.8,..,..,..,..,2.78,0.57,1.18,7.64,1.91,18.94,..,0,2.43,10,2.04,4.07,..,..,..,1148,..,3.51,6,0,0,..,0,..,..,55,34,100,580.78,0.58,2.6,0.9,56.52,..,0.04,..,-1.18,-1,7,..,-1.78,-9,..,22.42,..,..,0,..,0,..,..,..,..,..,2,17.95,0.36,4859.02,8.49,61.7,..
158,MNP,Northern Mariana Islands,..,..,..,..,100,..,..,..,..,2.16,39.66,..,..,..,..,..,..,..,..,..,..,..,0,0,103,..,..,..,..,..,..,..,..,1,..,0,..,0,..,..,..,..,98,..,1,2.2,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,0,..,0,..,..,..,..
