,ISO3Code (v. 10),Indicator,SYS_AIR,SYS_AIR.1,SYS_AIR.2,SYS_AIR.3,SYS_BIO,SYS_BIO.1,SYS_BIO.2,SYS_BIO.3,SYS_BIO.4,SYS_LAN,SYS_LAN.1,SYS_WQL,SYS_WQL.1,SYS_WQL.2,SYS_WQL.3,SYS_WQN,SYS_WQN.1,STR_AIR,STR_AIR.1,STR_AIR.2,STR_AIR.3,STR_AIR.4,STR_ECO,STR_ECO.1,STR_POP,STR_POP.1,STR_WAS,STR_WAS.1,STR_WAS.2,STR_WAT,STR_WAT.1,STR_WAT.2,STR_WAT.3,STR_NRM,STR_NRM.1,STR_NRM.2,STR_NRM.3,STR_NRM.4,VUL_HEA,VUL_HEA.1,VUL_HEA.2,VUL_SUS,VUL_SUS.1,VUL_DIS,VUL_DIS.1,CAP_GOV,CAP_GOV.1,CAP_GOV.2,CAP_GOV.3,CAP_GOV.4,CAP_GOV.5,CAP_GOV.6,CAP_GOV.7,CAP_GOV.8,CAP_GOV.9,CAP_GOV.10,CAP_GOV.11,CAP_EFF,CAP_EFF.1,CAP_PRI,CAP_PRI.1,CAP_PRI.2,CAP_PRI.3,CAP_PRI.4,CAP_ST,CAP_ST.1,CAP_ST.2,CAP_ST.3,CAP_ST.4,GLO_COL,GLO_COL.1,GLO_COL.2,GLO_GHG,GLO_GHG.1,GLO_TBP,GLO_TBP.1
0,,Country (alphabetical order),NO2,SO2,TSP,INDOOR,ECORISK,PRTBRD,PRTMAM,PRTAMPH,NBI,ANTH10,ANTH40,WQ_DO,WQ_EC,WQ_PH,WQ_SS,WATAVL,GRDAVL,NOXKM,SO2KM,VOCKM,COALKM,CARSKM,FOREST,ACEXC,GR2050,TFR,EFPC,RECYCLE,HAZWST,BODWAT,FERTHA,PESTHA,WATSTR,OVRFSH,IRRSAL,FORCERT,WEFSUB,AGSUB,DISINT,DISRES,U5MORT,UND_NO,WATSUP,DISCAS,DISEXP,PRAREA,GASPR,CSDMIS,KNWLDG,IUCN,AGENDA21,GRAFT,LAW,CIVLIB,WEFGOV,GOVEFF,POLITY,ENEFF,RENPC,DJSGI,ECOVAL,ISO14,WEFPRI,RESCARE,INNOV,DAI,PECR,ENROL,RESEARCH,EIONUM,FUNDING,PARTICIP,CO2GDP,CO2PC,SO2EXP,POLEXP
28,BVT,Bouvet Island,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
29,BRA,Brazil,51.37,75.78,106.2,27,51.69,7.53,17.75,15.05,0.88,51.7,0.81,..,..,..,..,53.07,10.46,0.34,0.36,2.02,0,4.32,-0.4,0,24,2.18,2.39,22,..,0.07,1150.6,1.2,0.28,4,0.02,0.52,4.6,1,12.85,0.01,37,9,89,0.68,0.64,18,0.9,15.22,14.33,0.09,0.21,-0.05,-0.3,2.5,41.48,-0.22,8,6.03,34.94,0.21,0.02,0.74,11.81,4,2.25,0.5,100,16.51,323.36,19,48.72,0.8,106.65,1.79,..,23.02
30,IOT,British Indian Ocean Territory,..,..,..,..,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
31,VGB,British Virgin Islands,..,..,..,..,0,..,..,40,..,0.89,41.96,..,..,..,..,..,..,..,..,..,0,..,0,0,62,1.97,..,..,..,..,..,..,..,..,..,0,..,0,..,..,22,..,98,..,1,1,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,..,0,..,..,100,..,..,0,..,0,..,2.96,..,..
32,BRN,Brunei Darussalam,..,..,..,70,98.62,..,..,5.66,0.78,1.75,15.92,..,..,..,..,..,..,..,..,..,0,33.29,-0.2,0,85,2.34,..,..,..,..,0,..,..,3,0,0,..,0,..,..,6,..,..,..,..,56.2,0.49,60.87,..,0,..,0.32,0.64,5.5,..,0.96,-7.7,..,0,..,..,0.94,..,0,..,0.55,97,15.11,..,2,..,0.24,..,18.86,..,..
33,BGR,Bulgaria,9.35,17.79,61.3,6,100,4.17,17.28,0,0.49,0.01,6.66,8.28,..,..,..,23.09,0.82,0.19,4.61,1.16,3.01,21.6,0.6,14.1,-38,1.23,2.65,22.8,754703,0.56,354.05,0.9,55.24,4,0,0,3.43,1,0.76,9.61,16,16,100,0,0,10.1,1.11,15.22,58.33,0.25,2.76,-0.17,0.05,1.5,27.83,-0.06,9.2,14.21,2.55,..,..,0.3,9.07,0,2.59,0.53,98,40.82,1166.65,7,58.97,0.76,919.37,6.11,845.93,25.21
34,BFA,Burkina Faso,..,..,..,97,100,0.6,4.76,0,0.53,3.33,0.12,..,..,..,..,0.96,..,0.03,0.08,0.02,0,0.17,-0.2,0,191,6.24,1.19,12,..,0.27,82.32,0.2,0,..,..,0,..,0,..,..,207,17,51,0.23,0.03,15.4,1.36,32.61,26.33,0.34,..,-0.04,-0.55,4,..,-0.69,-2.5,1.27,4.46,..,..,0,..,0,..,0.08,39,..,16,8,86.54,0.71,94.45,0.09,..,22.71
35,BDI,Burundi,..,..,..,100,12.74,1.55,5.61,23.08,0.68,3.63,0.51,..,..,..,..,2.38,0.34,0.23,0.13,2.29,0,0.64,-9,0,147,6.16,0.63,0,..,0.11,38.89,0.1,0,..,0,0,..,0,..,..,190,70,79,0.15,0.34,5.4,0.95,..,..,0,0.28,-1.02,-1.49,5.5,..,-1.46,-0.3,1.6,17.35,..,..,0,..,0,..,0.1,73,1.23,..,6,28.21,0.65,69.75,0.04,..,..
36,KHM,Cambodia,..,..,..,100,82.76,6.19,19.51,6.98,0.57,14.08,0.24,..,13.62,0.04,4.03,45.74,1.34,1.31,0.18,2.73,0,0.09,-0.6,0,104,4.5,1.03,15,..,0.02,0,..,0,5,..,0,..,0,..,..,138,38,34,4.08,0.91,23.7,1.03,34.78,..,0.08,..,-0.9,-0.86,5.5,..,-0.56,1.7,0.3,4.39,..,..,0.04,..,0,..,0.17,100,2.84,..,5,46.79,0.63,31.08,0.04,0.4,..
37,CMR,Cameroon,..,..,..,77,7.75,2.17,9.29,26.46,0.69,16.49,0.1,..,..,..,..,19.8,6.23,0.17,0.08,1.26,0,0.41,-0.9,0,92,4.88,1.24,8,..,0.04,88.09,0.1,0,5,..,0,4.45,0,..,..,166,27,63,0.13,0.01,8,1.11,28.26,..,0.13,0.06,-1.1,-1.28,6,30.72,-0.62,-4,2.47,42.81,..,..,0.06,10.22,0,1.68,0.16,99,4.93,..,15,53.85,0.61,177.77,0.43,..,..
