,Code,Country,EPI_2010,HLT_2010,ECO_2010,BDH_2010,CCH_2010,EPI_2006,HLT_2006,ECO_2006,BDH_2006,CCH_2006,EPI_2008,HLT_2008,BDH_2008,GDP_pc_ppp,Landarea,EPI_2012,HLT_2012,ECO_2012,BDH_2012,CCH_2012,EPI_2014,HLT_2014,ECO_2014,BDH_2014,CCH_2014,EPI_2016,HLT_2016,ECO_2016,BDH_2016,CCH_2016,EPI_2018,HLT_2018,ECO_2018,BDH_2018,CCE_2018,EPI_current,HLT_current,ECO_current,BDH_current,CCE_2020,Safety_score,Arrivals,CCH_2008,average_EPI,average_HLT,average_BDH,average_ECO,average_CCE,Rural_eco_rating,Urban_eco_rating
33,HRV,Croatia,68.7,82.47,54.83,67.65,39.88,84.6,96.6,72.7,14.1,76.9,,,,,61690.87,64.16,83.86,55.71,74.49,46.26,62.23,83.39,48.13,70.87,63.26,86.98,86.37,87.59,98.96,85.23,65.45,67.04,64.39,95.25,54.41,63.1,61.2,64.3,82.6,70.0,1.44,16645000.0,,71.84333333333333,79.51166666666667,71.57166666666666,65.32333333333334,64.94666666666666,69.38541666666666,74.70521666666667
34,DOM,Dominican Republic,68.4,72.51,64.38,86.06,56.58,,,,,,,,,,48392.54,52.44,58.47,49.86,52.00,56.07,53.24,69.12,42.65,92.94,44.06,75.32,78.91,71.73,93.54,,64.71,64.86,64.61,87.06,61.27,46.3,36.1,53.2,81.6,56.1,1.99,6569000.0,,61.59400000000001,64.3,88.24000000000001,59.314,54.5025,77.10662500000001,61.066825
35,LTU,Lithuania,68.3,74.34,62.32,46.53,59.65,86.2,95.1,77.4,11.0,88.7,,,,,64747.57,65.50,83.28,57.88,86.06,44.67,61.26,73.87,52.86,91.83,51.02,85.49,89.13,81.86,98.55,85.72,69.33,72.57,67.18,93.83,62.46,62.9,63.2,62.7,87.5,65.9,1.724,2825000.0,,72.24666666666666,78.035,71.54,67.38666666666667,68.90833333333335,70.67155000000001,75.0232
36,NPL,Nepal,68.2,41.38,95.09,79.58,96.36,72.1,60.2,84.0,45.0,98.1,60.2,44.1,60.5,"$1,500",147607.73,57.97,37.93,66.56,62.18,88.65,37.0,31.67,40.55,61.79,,50.21,46.16,54.26,76.59,,31.44,10.54,45.38,68.52,35.11,32.7,21.0,40.5,62.6,23.7,1.947,1173000.0,61.150000000000006,50.26428571428571,36.43571428571429,64.94,59.96333333333333,63.317499999999995,64.404575,45.30670357142857
37,SUR,Suriname,68.2,70.73,65.62,74.31,63.57,,,,,,73.0,75.1,66.9,"$4,300",,,,,,,53.57,67.15,44.52,75.04,52.76,68.58,83.81,53.34,81.12,,54.2,62.46,48.68,70.23,35.74,45.2,36.6,50.9,63.6,52.8,,,46.400000000000006,60.45833333333332,65.975,71.86666666666667,52.612,51.2175,65.05244166666668,61.105025
38,BTN,Bhutan,68.0,56.88,79.16,100.0,71.68,,,,,,,,,,,,,,,,46.86,42.07,50.06,94.92,,64.99,69.14,60.84,96.34,,47.22,35.27,55.18,96.3,43.76,39.3,29.8,45.7,87.2,24.7,1.481,274000.0,,53.274,46.632000000000005,94.952,58.188,46.71333333333333,79.03324,46.658840000000005
39,LUX,Luxembourg,67.8,90.75,44.92,100.0,28.15,83.1,99.3,66.9,56.7,59.0,,,,,2592.98,69.20,100.00,56.00,100.00,19.76,83.29,92.26,77.31,100.0,56.75,86.58,88.88,84.29,100.0,74.05,79.12,95.07,68.48,96.54,58.53,82.3,92.6,75.4,85.5,77.5,,1018000.0,,80.365,93.14333333333333,89.79,69.55000000000001,58.99666666666667,79.6282,81.87493333333333
40,DZA,Algeria,67.4,67.58,67.25,51.89,66.18,77.0,82.2,71.8,73.9,74.6,66.2,85.1,37.8,"$6,600",2324668.37,48.56,66.64,40.81,37.71,40.71,50.08,70.51,36.45,34.86,37.53,70.28,76.07,64.5,61.62,43.6,57.18,80.95,41.34,49.33,26.94,44.8,50.4,41.0,39.0,52.5,2.146,2657000.0,49.7,61.84857142857144,73.25857142857141,49.771428571428565,53.723333333333336,50.225,49.92110714285714,65.65749285714286
41,MEX,Mexico,67.3,76.63,58.06,51.1,56.42,79.8,91.3,68.3,41.8,71.5,64.8,80.6,48.6,"$9,600",1959126.88,49.11,64.07,42.69,63.47,40.50,55.03,69.98,45.06,62.32,51.35,73.59,77.58,69.61,78.66,54.9,59.69,66.04,55.46,74.68,46.84,52.6,47.5,55.9,72.9,65.2,2.612,41313000.0,51.099999999999994,64.68714285714286,72.80428571428571,61.43714285714287,58.73166666666666,57.70166666666666,60.20443571428572,67.82042142857142
42,IRL,Ireland,67.1,91.73,42.48,7.03,40.36,82.7,99.4,66.1,8.8,69.7,83.3,98.6,26.2,"$31,900",70100.1,58.69,98.12,41.79,34.17,31.85,74.67,96.27,60.27,18.74,75.01,86.6,95.6,77.61,90.51,91.19,78.77,95.92,67.34,88.63,54.16,72.8,94.2,58.6,65.8,66.6,1.288,10926000.0,70.75,77.99142857142856,95.96000000000001,43.67285714285714,62.06666666666666,66.17,51.09691428571429,86.12930000000001
