,Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
90,Guatemala,GTM,"International tourism, number of departures",585000.0,596000.0,580000.0,686000.0,840000.0,939000.0,1053000.0,1067000.0,1227000.0,,
91,Guam,GUM,"International tourism, number of departures",,,,,,,,,,,
92,Guyana,GUY,"International tourism, number of departures",,,,,,,,,,,
93,High income,HIC,"International tourism, number of departures",618388673.127031,624686582.98036,641183873.547652,651874847.066269,670935986.273683,701469335.336315,742800519.062842,784318351.630026,814281149.553149,,
94,"Hong Kong SAR, China",HKG,"International tourism, number of departures",84442000.0,84816000.0,85276000.0,84414000.0,84519000.0,89082000.0,91758000.0,91304000.0,92214000.0,,
95,Honduras,HND,"International tourism, number of departures",408000.0,449000.0,464000.0,471000.0,557000.0,692000.0,654000.0,,,,
96,Heavily indebted poor countries (HIPC),HPC,"International tourism, number of departures",,,,,,,,,,,
97,Croatia,HRV,"International tourism, number of departures",1873000.0,2880000.0,2680000.0,2927000.0,2763000.0,2578000.0,1615000.0,1923000.0,2058000.0,,
98,Haiti,HTI,"International tourism, number of departures",,,,,,,,,,,
99,Hungary,HUN,"International tourism, number of departures",5297000.0,5335000.0,4881000.0,4912000.0,5587000.0,6382000.0,7091000.0,7539000.0,8649000.0,,
100,IBRD only,IBD,"International tourism, number of departures",264977618.599134,298107647.207342,331703540.524378,369159661.513161,388521193.845806,400963843.278597,423266460.768477,462033928.17529,478800781.39825,,
101,IDA & IBRD total,IBT,"International tourism, number of departures",342163628.49299,386799721.806052,430514118.243182,481084012.720935,506303613.398898,522601923.098365,551072829.322647,600065114.921673,625518081.919404,,
102,IDA total,IDA,"International tourism, number of departures",,,,,,,,,,,
103,IDA blend,IDB,"International tourism, number of departures",,,,,,,,,,,
104,Indonesia,IDN,"International tourism, number of departures",6235000.0,6750000.0,7454000.0,8025000.0,8074000.0,8176000.0,8340000.0,8856000.0,9468000.0,,
105,IDA only,IDX,"International tourism, number of departures",,,,,,,,,,,
106,Isle of Man,IMN,"International tourism, number of departures",,,,,,,,,,,
107,India,IND,"International tourism, number of departures",12988000.0,13994000.0,14920000.0,16626000.0,18330000.0,20376000.0,21872000.0,23943000.0,26296000.0,,
108,Not classified,INX,"International tourism, number of departures",,,,,,,,,,,
109,Ireland,IRL,"International tourism, number of departures",6917000.0,6514000.0,6600000.0,6579000.0,6676000.0,7094000.0,7646000.0,8171000.0,8643000.0,,
110,"Iran, Islamic Rep.",IRN,"International tourism, number of departures",,,,,7698000.0,6620000.0,9007000.0,10543000.0,7243000.0,,
111,Iraq,IRQ,"International tourism, number of departures",,,,,,,,,,,
112,Iceland,ISL,"International tourism, number of departures",299000.0,341000.0,358000.0,365000.0,400000.0,450000.0,536000.0,619000.0,668000.0,,
113,Israel,ISR,"International tourism, number of departures",4269000.0,4387000.0,4349000.0,4757000.0,5181000.0,5891000.0,6781000.0,7597000.0,8473000.0,,
114,Italy,ITA,"International tourism, number of departures",28188000.0,27831000.0,27376000.0,26305000.0,26862000.0,27494000.0,29067000.0,31805000.0,33347100.0,,
115,Jamaica,JAM,"International tourism, number of departures",,,,,,,,,,,
116,Jordan,JOR,"International tourism, number of departures",2708000.0,1931000.0,1567000.0,1498000.0,1230000.0,,1511000.0,1592000.0,1501000.0,,
117,Japan,JPN,"International tourism, number of departures",16637000.0,16994000.0,18491000.0,17473000.0,16903000.0,16214000.0,17116000.0,17889000.0,18954000.0,,
118,Kazakhstan,KAZ,"International tourism, number of departures",5893000.0,7852000.0,8875000.0,9931000.0,10230000.0,,,,,,
119,Kenya,KEN,"International tourism, number of departures",,,,,,,,,,,
120,Kyrgyz Republic,KGZ,"International tourism, number of departures",1342000.0,3061000.0,3621000.0,3993000.0,3790000.0,4008000.0,4185000.0,4446000.0,6839000.0,,
121,Cambodia,KHM,"International tourism, number of departures",505000.0,710000.0,792000.0,872000.0,956000.0,1194000.0,1434000.0,1752000.0,1995000.0,,
122,Kiribati,KIR,"International tourism, number of departures",,,,,,,,,,,
123,St. Kitts and Nevis,KNA,"International tourism, number of departures",,,,,,,,,,,
124,"Korea, Rep.",KOR,"International tourism, number of departures",12488000.0,12694000.0,13737000.0,14846000.0,16081000.0,19310000.0,22383000.0,26496000.0,28696000.0,,
125,Kuwait,KWT,"International tourism, number of departures",,,,,,,,,,,
126,Latin America & Caribbean (excluding high income),LAC,"International tourism, number of departures",39006094.6577663,43430905.6272608,46550859.3479786,47864956.3412391,51218983.5888814,55295764.182817,59469048.7746952,62095568.5421398,62036469.8162609,,
127,Lao PDR,LAO,"International tourism, number of departures",1686000.0,1788000.0,2052000.0,2857000.0,3320000.0,3067000.0,3059000.0,3049000.0,3207000.0,,
128,Lebanon,LBN,"International tourism, number of departures",,,,,,,,,,,
129,Liberia,LBR,"International tourism, number of departures",,,,,,,,,,,
130,Libya,LBY,"International tourism, number of departures",,,,,,,,,,,
131,St. Lucia,LCA,"International tourism, number of departures",,,,,,,,,,,
132,Latin America & Caribbean,LCN,"International tourism, number of departures",44220054.8699896,49593031.3915604,53211794.5196494,55329001.6263537,59206936.1868485,63169894.9810226,67141148.8223849,70095338.1250517,70174053.937966,,
133,Least developed countries: UN classification,LDC,"International tourism, number of departures",,,,,,,,,,,
134,Low income,LIC,"International tourism, number of departures",,,,,,,,,,,
135,Liechtenstein,LIE,"International tourism, number of departures",,,,,,,,,,,
136,Sri Lanka,LKA,"International tourism, number of departures",1122000.0,1239000.0,1269000.0,1262000.0,1311000.0,1356000.0,1448000.0,1439000.0,1476000.0,,
137,Lower middle income,LMC,"International tourism, number of departures",78811187.8619459,89171567.481444,97448275.4523829,108204761.14178,110935670.386279,120843900.289335,129077625.757235,137277639.230069,150489272.989029,,
138,Low & middle income,LMY,"International tourism, number of departures",313158294.232253,356648704.202412,395854145.382801,444297096.638342,467751030.122281,482936180.99612,509090957.327014,551402287.152305,574143266.75359,,
139,Lesotho,LSO,"International tourism, number of departures",,,,,,,,,,,
140,Late-demographic dividend,LTE,"International tourism, number of departures",186071464.051549,213474385.665456,241299061.527667,269237388.230857,284650615.349121,288327133.009794,301131343.198137,331319036.240809,350106877.241868,,
141,Lithuania,LTU,"International tourism, number of departures",1411000.0,1526000.0,1708000.0,1764000.0,1789000.0,1860000.0,1953000.0,2032000.0,2244000.0,,
142,Luxembourg,LUX,"International tourism, number of departures",1237000.0,1643000.0,1580000.0,1624000.0,1815000.0,1702000.0,1588000.0,1802000.0,1989000.0,,
143,Latvia,LVA,"International tourism, number of departures",1650000.0,1530000.0,1398000.0,1246000.0,1362000.0,1242000.0,1250000.0,1265000.0,1368000.0,,
144,"Macao SAR, China",MAC,"International tourism, number of departures",753000.0,908000.0,1291000.0,1446000.0,1537000.0,1466000.0,1251000.0,1391000.0,1579000.0,,
145,St. Martin (French part),MAF,"International tourism, number of departures",,,,,,,,,,,
146,Morocco,MAR,"International tourism, number of departures",2175000.0,2378000.0,2323000.0,2195000.0,1850000.0,1910000.0,1864000.0,1849000.0,1923000.0,,
147,Monaco,MCO,"International tourism, number of departures",,,,,,,,,,,
148,Moldova,MDA,"International tourism, number of departures",117200.0,136100.0,146800.0,157600.0,180600.0,189800.0,177000.0,229000.0,264000.0,,
149,Madagascar,MDG,"International tourism, number of departures",,,,,,,,,,,
150,Maldives,MDV,"International tourism, number of departures",,,,,,,,,,,
151,Middle East & North Africa,MEA,"International tourism, number of departures",,,,,,,,,,,
152,Mexico,MEX,"International tourism, number of departures",14334000.0,14799000.0,15581000.0,15911000.0,18261000.0,19603000.0,20223000.0,19067000.0,19748000.0,,
153,Marshall Islands,MHL,"International tourism, number of departures",,,,,,,,,,,
154,Middle income,MIC,"International tourism, number of departures",280725864.094018,319659486.050154,354735603.012361,398225546.643042,419254385.436862,432921297.799503,456239726.189762,494146794.320676,514531490.051468,,
155,North Macedonia,MKD,"International tourism, number of departures",,,,,,,,,,,
156,Mali,MLI,"International tourism, number of departures",,,,,,,,,,,
157,Malta,MLT,"International tourism, number of departures",294000.0,309000.0,331000.0,363000.0,391000.0,428000.0,497000.0,573000.0,667000.0,,
158,Myanmar,MMR,"International tourism, number of departures",,,,,,,,,,,
159,Middle East & North Africa (excluding high income),MNA,"International tourism, number of departures",,,,,,,,,,,
160,Montenegro,MNE,"International tourism, number of departures",,,,,,,,,,,
161,Mongolia,MNG,"International tourism, number of departures",,,,,,,,,,,
162,Northern Mariana Islands,MNP,"International tourism, number of departures",,,,,,,,,,,
163,Mozambique,MOZ,"International tourism, number of departures",,,,,,,,,,,
164,Mauritania,MRT,"International tourism, number of departures",,,,,,,,,,,
165,Mauritius,MUS,"International tourism, number of departures",212000.0,219000.0,237000.0,228000.0,223000.0,242000.0,260000.0,283000.0,296000.0,,
166,Malawi,MWI,"International tourism, number of departures",,,,,,,,,,,
167,Malaysia,MYS,"International tourism, number of departures",,,,,,,,,,,
