,Code,Country,EPI,HLT,ECO,BDH,CCE
133,RUS,Russia,63.79,75.48,55.99,65.64,49.88
134,RWA,Rwanda,43.68,31.03,52.12,63.24,69.91
135,LCA,Saint Lucia,56.18,71.03,46.28,62.71,40.29
136,VCT,Saint Vincent and the Grenadines,66.48,67.38,65.88,85.1,55.95
137,WSM,Samoa,54.5,61.94,49.55,49.04,42.8
138,STP,SÃƒÂ£o TomÃƒÂ© and PrÃƒÂ­ncipe,54.01,52.73,54.87,75.47,55.13
139,SAU,Saudi Arabia,57.47,72.81,47.25,48.33,40.47
140,SEN,Senegal,49.52,47.55,50.83,91.67,38.73
141,SRB,Serbia,57.49,61.18,55.03,49.84,61.77
142,SYC,Seychelles,66.02,77.72,58.22,63.49,93.25
143,SLE,Sierra Leone,42.54,41.8,43.03,68.63,48.19
144,SGP,Singapore,64.23,72.14,58.96,21.46,67.64
145,SVK,Slovakia,70.6,63.87,75.08,94.31,74.21
146,SVN,Slovenia,67.57,72.34,64.4,95.78,51.16
147,SLB,Solomon Islands,43.22,49.67,38.93,26.66,63.2
148,ZAF,South Africa,44.73,36.81,50.01,64.24,44.63
149,KOR,South Korea,62.3,73.3,54.96,46.66,46.75
150,ESP,Spain,78.39,94.21,67.85,95.66,67.77
151,LKA,Sri Lanka,60.61,64.7,57.88,80.38,70.88
152,SDN,Sudan,51.49,50.09,52.43,40.13,72.11
153,SUR,Suriname,54.2,62.46,48.68,70.23,35.74
154,SWZ,Swaziland,40.32,32.54,45.51,34.9,62.49
155,SWE,Sweden,80.51,94.41,71.24,81.0,86.8
156,CHE,Switzerland,87.42,93.57,83.32,84.2,90.55
157,TWN,Taiwan,72.84,69.85,74.83,83.03,82.23
158,TJK,Tajikistan,47.85,26.26,62.24,67.01,60.73
159,TZA,Tanzania,50.83,45.0,54.71,95.03,43.1
160,THA,Thailand,49.88,46.21,52.33,74.91,45.75
161,TLS,Timor-Leste,49.54,51.02,48.56,73.47,45.01
162,TGO,Togo,41.78,38.25,44.14,68.43,43.04
163,TON,Tonga,62.49,62.51,62.48,82.75,49.38
164,TTO,Trinidad and Tobago,67.36,81.44,57.96,88.93,50.02
165,TUN,Tunisia,62.35,81.12,49.83,47.41,51.3
166,TUR,Turkey,52.96,71.56,40.57,25.16,39.99
167,TKM,Turkmenistan,66.1,73.53,61.15,29.04,81.39
168,UGA,Uganda,44.28,33.64,51.38,89.54,38.87
169,UKR,Ukraine,52.87,64.44,45.16,49.1,37.59
170,ARE,United Arab Emirates,58.9,67.88,52.92,74.67,27.12
171,GBR,United Kingdom,79.89,96.03,69.13,96.69,63.06
172,USA,United States of America,71.19,93.91,56.04,70.93,45.81
173,URY,Uruguay,64.65,84.72,51.27,49.7,79.01
174,UZB,Uzbekistan,45.88,50.67,42.69,30.96,49.18
175,VUT,Vanuatu,44.55,50.46,40.61,35.58,28.41
176,VEN,Venezuela,63.89,75.74,55.99,96.21,37.8
177,VNM,Viet Nam,46.96,47.12,46.86,74.87,44.62
178,ZMB,Zambia,50.97,31.57,63.91,98.75,51.67
179,ZWE,Zimbabwe,43.41,40.58,45.3,94.53,24.89
