,Code,Country,Landarea,EPI,HLT,ECO,BDH,CCH
131,GNB,Guinea-Bissau,34105.82,44.7,12.62,76.72,75.02,75.4
132,CMR,Cameroon,465765.23,44.6,27.43,61.82,70.01,66.13
133,IDN,Indonesia,1897811.61,44.6,44.59,44.64,63.19,49.24
134,RWA,Rwanda,24348.89,44.6,20.33,68.89,85.03,64.45
135,GIN,Guinea,245860.06,44.4,19.59,69.15,46.31,69.73
136,BOL,Bolivia,1069133.7,44.3,45.4,43.27,85.71,31.36
137,PNG,Papua New Guinea,465004.05,44.3,35.1,53.49,15.63,55.88
138,BGD,Bangladesh,136248.11,44.0,32.33,55.57,14.92,70.72
139,BDI,Burundi,25226.95,43.9,22.56,65.25,51.5,78.02
140,ETH,Ethiopia,1123716.57,43.1,11.04,75.24,93.7,77.59
141,MNG,Mongolia,1546296.94,42.8,42.73,42.86,80.73,36.94
142,SEN,Senegal,196150.99,42.3,27.23,57.32,78.1,51.44
143,UZB,Uzbekistan,412711.17,42.3,64.12,20.42,21.75,37.27
144,BHR,Bahrain,637.88,42.0,83.69,0.23,13.61,25.49
145,GNQ,Equatorial Guinea,27104.52,41.9,35.04,48.77,77.06,37.44
146,PRK,North Korea,122439.95,41.8,54.08,29.54,16.23,41.79
147,KHM,Cambodia,179559.26,41.7,28.81,54.57,81.73,56.29
148,BWA,Botswana,559515.8,41.3,43.28,39.34,100.0,37.89
149,IRQ,Iraq,426753.71,41.0,39.57,42.42,0.0,64.15
150,TCD,Chad,1243139.16,40.8,6.13,75.56,73.51,75.43
151,ARE,United Arab Emirates,74776.6,40.7,81.29,0.06,1.17,20.58
152,NGA,Nigeria,904234.85,40.2,17.64,62.74,74.67,75.84
153,BEN,Benin,115828.16,39.6,22.94,56.24,74.2,54.71
154,HTI,Haiti,27229.68,39.5,28.06,50.93,3.14,58.37
155,MLI,Mali,1248145.58,39.4,9.34,69.51,24.32,78.39
156,TKM,Turkmenistan,460254.24,38.4,51.24,25.55,30.36,35.05
157,NER,Niger,1157232.49,37.6,0.06,75.08,68.89,75.4
158,TGO,Togo,57276.95,36.4,23.15,49.71,75.85,54.58
159,AGO,Angola,1251895.62,36.3,18.29,54.4,58.43,53.85
160,MRT,Mauritania,1036904.89,33.7,25.97,41.36,20.85,56.86
161,CAF,Central African Republic,622868.42,33.3,22.31,44.37,100.0,30.95
162,SLE,Sierra Leone,72617.41,32.1,8.88,55.36,37.08,60.74
