,Code,Country,Landarea_x,EPI_2010,HLT_2010,ECO_2010,BDH_2010,CCH_2010,landarea,EPI_2006,HLT_2006,ECO_2006,BDH_2006,CCH_2006,EPI_2008,HLT_2008,BDH_2008,air,energy,GDP_pc_ppp,Landarea_y,EPI_2012,HLT_2012,ECO_2012,BDH_2012,CCH_2012,EPI_2014,HLT_2014,ECO_2014,BDH_2014,CCH_2014,EPI_2016,HLT_2016,ECO_2016,BDH_2016,CCH_2016,EPI_2018,HLT_2018,ECO_2018,BDH_2018,CCE_2018,EPI_current,HLT_current,ECO_current,BDH_current,CCE_2020,2022,Arrivals
130,BEN,Benin,115828.16,39.6,22.94,56.24,74.2,54.71,115828.16,56.1,40.2,71.9,86.0,71.2,58.4,33.1,88.1,78.9,79.5,"$1,200",115937.18,50.38,21.63,62.70,79.80,58.72,32.42,34.49,31.04,65.88,,43.66,44.75,42.57,77.29,,38.17,36.36,39.37,75.08,34.35,30.0,20.3,36.4,67.0,30.7,2.125,295000.0
131,HTI,Haiti,27229.68,39.5,28.06,50.93,3.14,58.37,27229.68,60.7,50.1,71.3,6.2,84.1,48.9,38.4,17.4,40.7,84.9,"$1,500",27193.52,41.15,33.33,44.51,15.53,68.49,19.01,37.06,6.98,1.09,,43.28,50.01,36.55,24.41,,33.74,45.24,26.08,14.39,42.53,27.0,21.8,30.5,34.5,37.0,2.254,447000.0
132,MLI,Mali,1248145.58,39.4,9.34,69.51,24.32,78.39,1248145.58,44.3,13.4,75.2,37.2,82.4,33.9,8.6,45.0,21.2,92.1,$900,,,,,,,18.43,28.41,11.77,14.3,,41.48,38.36,44.59,73.03,,43.71,43.72,43.7,61.6,55.47,29.4,19.5,36.0,59.6,26.3,2.911,14000.0
133,TKM,Turkmenistan,460254.24,38.4,51.24,25.55,30.36,35.05,460254.24,71.3,78.1,64.4,58.1,58.2,52.3,57.4,30.3,32.4,0.0,"$5,700",479839.97,31.75,59.92,19.67,17.88,14.42,45.07,66.12,31.04,17.86,61.67,70.24,70.44,70.04,49.93,93.27,66.1,73.53,61.15,29.04,81.39,43.9,45.0,43.1,39.7,36.4,2.116,
134,NER,Niger,1157232.49,37.6,0.06,75.08,68.89,75.4,1157232.49,39.1,6.0,72.1,83.0,73.6,25.7,1.0,39.0,22.9,83.6,$900,,,,,,,36.28,27.42,42.19,77.21,,37.48,25.11,49.86,88.33,,35.74,41.94,31.61,85.74,6.36,30.8,17.1,39.9,77.6,12.5,2.655,157000.0
135,TGO,Togo,57276.95,36.4,23.15,49.71,75.85,54.58,57276.95,62.3,52.0,72.6,63.3,82.4,52.8,28.3,68.5,82.3,74.8,"$1,600",57362.93,48.66,22.71,59.78,53.01,75.16,27.91,32.82,24.63,44.23,,46.1,42.96,49.24,71.34,,41.78,38.25,44.14,68.43,43.04,29.5,16.4,38.2,64.2,34.4,2.094,573000.0
136,AGO,Angola,1251895.62,36.3,18.29,54.4,58.43,53.85,1251895.62,39.5,8.9,70.1,58.9,74.6,39.3,7.8,47.3,51.2,74.9,"$2,100",1254991.88,47.57,20.84,59.02,41.20,68.90,28.69,35.44,24.19,41.7,,51.32,55.18,47.46,53.54,,37.44,33.79,39.88,39.19,48.86,29.7,20.4,35.9,39.3,49.0,1.982,218000.0
137,MRT,Mauritania,1036904.89,33.7,25.97,41.36,20.85,56.86,1036904.89,44.2,33.2,55.2,34.6,57.0,32.0,28.4,5.9,30.9,50.3,"$1,800",,,,,,,27.19,37.3,20.44,32.63,,46.31,50.1,42.53,42.92,,39.24,50.01,32.05,31.65,39.84,27.7,20.0,32.8,19.2,32.6,2.193,
138,CAF,Central African Republic,622868.42,33.3,22.31,44.37,100.0,30.95,,,,,,,,,,,,,,,,,,,42.94,31.08,50.85,97.0,,46.46,37.29,55.62,90.87,,36.42,29.16,41.26,89.6,17.55,36.9,12.2,53.5,84.7,45.4,3.021,
139,SLE,Sierra Leone,72617.41,32.1,8.88,55.36,37.08,60.74,72617.41,40.0,18.2,61.9,6.0,69.6,49.5,20.4,56.2,75.5,78.3,$600,,,,,,,21.74,27.89,17.64,23.54,,45.98,41.05,50.91,75.46,,42.54,41.8,43.03,68.63,48.19,25.7,19.1,30.2,52.9,24.9,1.803,57000.0
140,TWN,Taiwan,,,,,,,36222.74,80.8,96.6,65.1,66.7,65.5,79.1,93.5,67.3,47.4,70.7,"$25,300",36384.86,62.23,95.03,48.17,72.65,23.73,62.18,90.44,43.33,71.39,57.69,74.88,76.62,73.14,76.61,76.82,72.84,69.85,74.83,83.03,82.23,57.2,59.2,55.8,65.0,63.1,1.618,
141,LBR,Liberia,,,,,,,,,,,,,51.0,23.3,36.7,86.5,81.3,$900,,,,,,,23.95,37.99,14.59,4.13,,43.42,46.88,39.97,49.67,,41.62,43.73,40.21,34.35,73.11,22.6,21.3,23.6,32.6,24.9,1.973,
142,SRB,Serbia,,,,,,,,,,,,,,,,,,,92633.31,46.14,72.69,34.76,35.00,20.11,,,,,,78.67,83.35,73.98,61.46,83.34,57.49,61.18,55.03,49.84,61.77,55.2,47.8,60.2,57.4,68.1,1.832,1711000.0
143,TLS,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,39.41,44.92,35.74,60.43,,55.79,64.04,47.54,71.39,,49.54,51.02,48.56,73.47,45.01,35.3,28.9,39.5,64.5,23.4,1.839,75000.0
144,AFG,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,21.57,34.61,12.87,2.52,,37.5,52.92,22.08,21.25,,37.74,36.76,38.4,13.44,33.04,25.5,20.0,29.2,21.9,22.2,3.554,
145,LSO,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,20.81,43.31,5.82,1.3,,47.17,56.74,37.59,26.17,,33.78,29.78,36.45,17.43,44.79,28.0,11.8,38.8,22.5,52.4,2.089,1173000.0
146,MNE,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.89,89.6,68.19,67.72,64.29,61.33,72.61,53.81,73.77,46.85,46.3,46.7,46.1,36.6,65.6,1.801,2077000.0
147,MKD,North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4,43.6,63.2,62.1,75.2,1.704,707000.0
148,SWZ,Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,17.6,44.6,38.4,56.9,2.033,782000.0
