,Code,Country,Landarea_x,EPI_2010,HLT_2010,ECO_2010,BDH_2010,CCH_2010,landarea,EPI_2006,HLT_2006,ECO_2006,BDH_2006,CCH_2006,EPI_2008,HLT_2008,BDH_2008,air,energy,GDP_pc_ppp,Landarea_y,EPI_2012,HLT_2012,ECO_2012,BDH_2012,CCH_2012,EPI_2014,HLT_2014,ECO_2014,BDH_2014,CCH_2014,EPI_2016,HLT_2016,ECO_2016,BDH_2016,CCH_2016,EPI_2018,HLT_2018,ECO_2018,BDH_2018,CCE_2018,EPI_current,HLT_current,ECO_current,BDH_current,CCE_2020,2022,Arrivals
34,BTN,Bhutan,38028.67,68.0,56.88,79.16,100.0,71.68,,,,,,,,,,,,,,38028,,,,,46.86,42.07,50.06,94.92,,64.99,69.14,60.84,96.34,,47.22,35.27,55.18,96.3,43.76,39.3,29.8,45.7,87.2,24.7,1.481,274000.0
35,DZA,Algeria,2302498.08,67.4,67.58,67.25,51.89,66.18,2302498.08,77.0,82.2,71.8,73.9,74.6,66.2,85.1,37.8,39.3,60.1,"$6,600",2324668.37,48.56,66.64,40.81,37.71,40.71,50.08,70.51,36.45,34.86,37.53,70.28,76.07,64.5,61.62,43.6,57.18,80.95,41.34,49.33,26.94,44.8,50.4,41.0,39.0,52.5,2.146,2657000.0
36,MEX,Mexico,1943058.29,67.3,76.63,58.06,51.1,56.42,1943058.29,79.8,91.3,68.3,41.8,71.5,64.8,80.6,48.6,34.6,67.6,"$9,600",1959126.88,49.11,64.07,42.69,63.47,40.50,55.03,69.98,45.06,62.32,51.35,73.59,77.58,69.61,78.66,54.9,59.69,66.04,55.46,74.68,46.84,52.6,47.5,55.9,72.9,65.2,2.612,41313000.0
37,IRL,Ireland,69473.98,67.1,91.73,42.48,7.03,40.36,69473.98,82.7,99.4,66.1,8.8,69.7,83.3,98.6,26.2,60.3,81.2,"$31,900",70100.1,58.69,98.12,41.79,34.17,31.85,74.67,96.27,60.27,18.74,75.01,86.6,95.6,77.61,90.51,91.19,78.77,95.92,67.34,88.63,54.16,72.8,94.2,58.6,65.8,66.6,1.288,10926000.0
38,ROU,Romania,237056.1,67.0,72.67,61.34,63.55,50.8,237056.1,71.9,77.8,66.1,30.1,70.4,56.9,61.2,36.9,42.5,47.3,"$7,700",237127.99,48.34,60.67,43.05,45.33,41.82,50.52,61.85,42.96,63.51,62.82,83.24,81.19,85.28,95.77,96.18,64.78,58.67,68.85,90.8,68.53,64.7,50.0,74.4,85.0,84.6,1.64,11720000.0
39,CAN,Canada,9458906.77,66.4,92.77,40.1,61.91,37.34,9458906.77,86.6,98.9,74.4,67.6,69.3,84.0,98.6,55.2,56.2,62.8,"$31,500",9753742.04,58.41,100.00,40.59,53.59,27.81,73.14,97.92,56.61,58.4,59.85,85.06,95.15,74.96,74.5,74.59,72.18,97.51,55.29,83.2,39.88,71.0,91.7,57.3,60.5,65.7,1.389,21134000.0
40,NLD,Netherlands,35043.85,66.4,89.33,43.38,80.05,39.19,35043.85,78.7,98.1,59.4,9.1,66.1,78.7,97.1,26.1,55.9,75.3,"$29,500",34887.79,65.65,97.23,52.12,84.67,27.58,77.75,91.86,68.35,94.69,53.32,82.03,82.85,81.21,90.38,75.43,75.46,92.26,64.25,80.13,52.55,75.3,91.0,64.8,83.7,65.8,1.522,18780000.0
41,PHL,Philippines,295386.88,65.7,65.88,65.49,64.16,64.45,295386.88,77.9,82.5,73.4,44.5,82.0,69.4,63.6,69.0,61.4,78.9,"$5,000",297386.59,57.40,52.56,59.48,66.04,64.66,44.02,60.61,32.95,64.67,35.73,73.7,75.14,72.27,86.16,80.98,57.65,55.64,58.99,78.08,54.54,38.4,34.1,41.4,56.6,42.8,2.339,7168000.0
42,AUS,Australia,7634643.84,65.7,91.73,39.58,77.86,27.64,7634643.84,79.8,99.3,60.4,78.1,42.5,80.1,99.0,49.6,47.0,68.4,"$30,700",7716284.08,56.61,98.99,38.45,85.43,13.38,82.4,99.44,71.03,83.08,47.67,87.22,98.71,75.73,87.18,62.81,74.12,97.95,58.23,84.64,48.18,74.9,91.6,63.8,83.7,70.4,1.565,9246000.0
43,MAR,Morocco,403759.34,65.6,73.38,57.84,25.46,56.64,403759.34,72.1,85.2,59.0,15.4,66.5,64.1,75.7,54.7,54.4,75.1,"$4,200",406797.78,45.76,60.29,39.53,22.34,57.05,51.89,63.35,44.25,31.2,49.4,74.18,74.28,74.09,91.1,59.61,63.47,67.43,60.82,88.43,49.66,42.3,33.3,48.3,67.4,48.7,1.969,12289000.0
