ISO3V10,Country,EPI_regions,GEO_subregion,Population2005,GDP_capita MRYA,landlock,landarea,density,EPI,ENVHEALTH,ECOSYSTEM,ENVHEALTH,AIR_E,WATER_E,BIODIVERSITY,PRODUCTIVE_NATURAL_RESOURCES,CLIMATE,DALY_SC,WATER_H,AIR_H,AIR_E,WATER_E,BIODIVERSITY,FOREST,FISH,AGRICULTURE,CLIMATE,ACSAT_pt,WATSUP_pt,DALY_pt,INDOOR_pt,PM10_pt,OZONE_H_pt,SO2_pt,OZONE_E_pt,WATQI_pt,WATQI_GEMS station data,FORGRO_pt,CRI_pt,EFFCON_pt,AZE_pt,MPAEEZ_pt,EEZTD_pt,MTI_pt,IRRSTR_pt,AGINT_pt,AGSUB_pt,BURNED_pt,PEST_pt,GHGCAP_pt,CO2IND_pt,CO2KWH_pt,ACSAT,WATSUP,DALY,INDOOR,PM10,OZONE_H,SO2,OZONE_E,WATQI,WATQI_GEMS station data,WATSTR,FORGRO,CRI,EFFCON,AZE,MPAEEZ,EEZTD,MTI,IRRSTR,AGINT,AGSUB,BURNED,PEST,GHGCAP,CO2IND,CO2KWH
CAF,Central African Republic        ,Sub-Saharan Africa,Central Africa,4037.7,1111.5,1,622868.42,0,56.0,35.2,76.9,35.2,55.4,60.6,100.0,84.5,74.8,36.9,36.1,30.7,55.4,60.6,100.0,97.2, ,71.8,74.8,14.6,57.6,36.9,0.0,76.8,0.0,98.3,12.5,21.8,,97.2,100.0,100.0, ,100.0, , ,100.0,100.0,100.0,0.0,59.1,77.1,100.0,47.3,27.0,75.0,35.0,95.0,47.6,4524.8,0.7,358935019.5,53.0,,0.5,1.0,0.5,10.0, ,10.0, , ,0.0,0.0,0.0,21.4,13.0,14.1,0.8,489.1
CAN,Canada,North America,North America,32268.2,30277.9,0,9458906.77,0.4,86.6,98.9,74.4,98.9,82.2,92.9,67.6,77.0,69.3,99.6,100.0,96.3,82.2,92.9,67.6,100.0,50.7,80.4,69.3,100.0,100.0,99.6,94.7,100.0,91.8,80.5,84.0,87.6,87.6,100.0,92.7,72.7,75.0,5.0,67.5,33.8,98.4,59.6,55.0,89.0,100.0,59.7,69.7,78.5,100.0,100.0,0.2,5.0,19.1,152.1,8.3,65561497.6,92.5,92.5,1.7,1.0,0.5,7.3,75.0,0.5,0.0,0.3,1.4,21.0,25.6,1.5,22.0,23.1,2.9,199.0
CHE,Switzerland,Europe,Western Europe,7252.3,32775.2,1,38975.12,39.3,95.5,98.9,92.1,98.9,97.1,94.5,82.7,89.1,94.6,99.8,100.0,96.1,97.1,94.5,82.7,100.0, ,78.3,94.6,100.0,100.0,99.8,94.7,96.3,98.5,94.9,99.3,88.9,88.9,100.0,100.0,65.3, ,100.0, , ,100.0,93.2,0.0,98.1,100.0,89.1,97.4,97.2,100.0,100.0,0.1,5.0,24.4,27.3,2.1,2755990.1,93.3,93.3,0.0,1.0,0.5,6.5, ,10.0, , ,0.0,68.0,4.3,0.3,22.0,7.9,1.0,26.0
CHL,Chile,Latin America and Caribbe,South America,16295.1,10938.6,0,721229.34,2.2,83.4,93.3,73.6,93.3,87.6,69.5,42.7,87.8,78.4,98.2,90.5,86.3,87.6,69.5,42.7,100.0,69.0,94.3,78.4,89.5,91.5,98.2,94.7,71.0,100.0,75.2,100.0,57.3,57.3,100.0,80.7,61.5,28.6,0.0,87.2,50.7,98.8,99.4,86.5,86.9,100.0,92.5,81.3,61.5,91.0,95.0,1.0,5.0,54.4,0.0,10.5,153.1,74.3,74.3,16.5,1.1,0.4,6.2,28.6,0.0,0.0,0.1,1.0,6.3,0.4,1.8,22.0,6.1,2.1,357.0
CHN,China,East Asia and the Pacific,Northeast Asia,1315844.0,6620.7,0,9198093.51,33.4,65.1,71.4,58.8,71.4,44.9,69.6,56.7,75.2,52.7,94.6,47.7,48.6,44.9,69.6,56.7,100.0,44.0,81.5,52.7,34.5,61.0,94.6,15.8,56.1,99.0,86.8,3.0,60.7,60.7,100.0,74.7,65.5,45.7,3.0,13.1,74.9,81.0,83.2,98.1,86.0,59.1,93.3,49.7,15.0,44.0,77.0,3.0,80.0,72.2,18.0,5.6,397710008.3,76.4,76.4,19.6,1.1,0.4,6.5,45.7,0.3,0.0,0.9,16.1,0.9,10.7,1.9,13.0,5.7,4.3,788.0
CIV,Côte d'Ivoire,Sub-Saharan Africa,Western Africa,18153.9,1470.8,0,320328.85,6.8,65.2,57.4,73.0,57.4,83.4,49.8,63.9,93.3,75.6,47.7,49.6,84.4,83.4,49.8,63.9,100.0,91.2,88.7,75.6,26.3,72.8,47.7,87.1,84.6,78.8,99.1,67.7,1.7,1.7,100.0,82.2,94.7,50.0,0.0,82.4,100.0,99.8,98.3,100.0,68.2,77.3,85.8,96.9,44.2,37.0,84.0,29.0,12.3,38.3,392.1,0.4,132394997.8,40.9,40.9,1.8,1.0,0.4,9.5,50.0,0.0,0.0,0.2,0.2,0.0,1.1,4.3,17.0,9.6,1.1,518.0
CMR,Cameroon,Sub-Saharan Africa,Central Africa,16321.9,2079.4,0,465765.23,7,63.8,47.7,79.9,47.7,83.6,60.9,53.4,66.9,97.0,51.3,42.5,45.8,83.6,60.9,53.4,78.4,52.4,69.9,97.0,42.7,42.3,51.3,12.8,62.7,77.7,99.0,68.2,21.8,,78.4,82.6,61.6,14.3,100.0,9.4,95.4,100.0,79.8,100.0,60.5,9.1,95.2,100.0,95.8,51.0,66.0,27.0,82.8,64.3,412.7,0.4,130496000.0,53.0,,0.0,1.0,0.4,6.2,14.3,10.0,0.0,0.9,0.0,0.0,12.8,5.4,2.0,4.7,0.2,39.0
COD,Dem. Rep. Congo,Sub-Saharan Africa,Central Africa,57548.7,700.0,0,2313414.38,2.7,47.3,12.6,82.0,12.6,49.7,69.2,73.2,70.6,95.2,0.0,13.2,37.2,49.7,69.2,73.2,94.8,46.3,70.8,95.2,18.1,8.3,0.0,0.0,72.7,40.9,99.5,0.0,38.5,38.5,94.8,100.0,86.3,33.3,0.0,86.9,5.6,100.0,99.9,100.0,40.3,13.6,85.9,100.0,99.7,30.0,46.0,64.0,95.0,52.5,1094.6,0.2,1182560010.2,63.0,63.0,0.0,1.0,0.5,8.6,33.3,0.0,0.0,0.1,0.0,0.0,0.1,8.1,3.0,9.5,0.8,3.0
COG,Congo,Sub-Saharan Africa,Central Africa,3998.9,1159.4,0,343234.65,2.5,69.7,51.0,88.4,51.0,87.3,60.9,93.4,90.5,94.6,76.6,21.7,29.2,87.3,60.9,93.4,98.4,74.1,99.1,94.6,14.6,28.7,76.6,10.5,45.0,34.8,94.3,80.2,21.8,,98.4,100.0,94.5, ,8.0,64.6,83.6,100.0,100.0,100.0,95.7,100.0,83.9,100.0,100.0,27.0,58.0,13.0,85.0,85.4,1208.3,2.4,81000801.3,53.0,,0.0,1.0,0.5,9.5, ,0.8,0.0,0.4,0.0,0.0,0.0,0.6,22.0,10.6,0.1,0.0
COL,Colombia,Latin America and Caribbe,South America,45600.2,6886.0,0,1141177.03,5.4,88.3,91.4,85.2,91.4,98.3,74.9,75.0,94.8,87.1,94.6,85.9,90.6,98.3,74.9,75.0,100.0,99.0,85.5,87.1,83.6,88.1,94.6,79.5,97.3,99.5,98.8,97.8,53.0,53.0,100.0,93.7,94.0,37.2,75.0,99.0, ,96.8,99.9,52.8,91.6,86.4,94.0,85.0,82.4,86.0,93.0,3.0,19.5,23.2,10.2,0.5,8956229.8,71.7,71.7,2.8,1.0,0.5,9.4,37.2,7.5, ,0.0,2.7,22.0,0.0,1.1,19.0,5.3,1.9,163.0
