code,ISO3V10,Country,Regions,GDPCAP,GDPgroup,Population,Landarea,Landlock,No_forest,No_electricity,No_AZE,EPI,EH,EV,EHEH,EHAIR,EHWATER,EVAIR,EVWATER,EVBH,EVAG,EVFOREST,EVFISH,CLIMATE,CHMORT_pt,INDOOR_pt,PM25_pt,WATSUP_pt,ACSAT_pt,SO2CAP_pt,SO2GDP_pt,WATUSE_pt,PACOV_pt,MPAEEZ_pt,AZE_pt,AGSUB_pt,POPs_pt,FORGRO_pt,FORLOSS_pt,FORCOV_pt,FSOC_pt,TCEEZ_pt,CO2CAP_pt,CO2GDP_pt,CO2KWH_pt,RENEW_pt,CHMORT_mrya,INDOOR_mrya,PM25_mrya,WATSUP_mrya,ACSAT_mrya,SO2CAP_mrya,SO2GDP_mrya,WATUSE_mrya,PACOV_mrya,MPAEEZ_mrya,AZE_mrya,AGSUB_mrya,POPs_mrya,FORGRO_mrya,FORLOSS_mrya,FORCOV_mrya,FSOC_mrya,TCEEZ_mrya,CO2CAP_mrya,CO2GDP_mrya,CO2KWH_mrya,RENEW_mrya,WATSUPINV,ACSATINV,WATUSEINV,FORCOVINV,FORGROINV,CHMORT_tr,INDOOR_tr,PM25_tr,WATSUP_tr,ACSAT_tr,SO2CAP_tr,SO2GDP_tr,WATUSE_tr,MPAEEZ_tr,AGSUB_tr,FORGRO_tr,FORLOSS_tr,FORCOV_tr,FSOC_tr,TCEEZ_tr,CO2CAP_tr,CO2GDP_tr,CO2KWH_tr
578,NOR,Norway,Europe,46926.20,Upper,4885240,325602.24,0,0,0,,69.92,100.00,57.03,100.00,100.00,100.00,66.03,54.37,63.74,31.82,98.13,13.68,56.30,100,100,100,100,100,49.90,82.16,54.37,74.47,61.98,..,0.00,95.45,100,94.40,100.00,15.66,11.70,33.80,61.55,56.26,96.59,0.0005,0,2.33,100,100,5.13,0.11,-0.401,12.66,0.19062223,-7777,1.5405,21,1.144,0.02,1.039,0.70,0.275926,7730.38,0.20,12.46,96.42,0,0,0.401,0.0000,0.0000,-7.13,-2.30,2.51,0.00,0.00,1.69,-1.69,-0.91,-1.66,0.43,-7.80,-3.69,-8.56,-0.26,-1.29,8.96,-1.39,2.56
524,NPL,Nepal,Asia & Pacific,1075.39,Lower,29959364,147607.73,1,0,1,,57.97,37.93,66.56,54.51,18.01,24.71,55.18,37.33,62.18,40.91,100.00,..,88.65,54.51,2.87,33.16,41.47,7.94,69.96,40.41,37.33,62.18,..,..,..,40.91,100,100.00,100.00,..,..,100.00,83.96,73.11,99.58,0.0083,82,28.64,88,31,1.36,1.43,-1.753,10.57,-7777,-7777,-9999,9,1.000,0.00,1.000,-7777,-7777,116.03,0.08,3.21,99.58,12,69,1.753,0.0000,0.0000,-4.76,4.41,3.65,2.56,4.25,0.49,0.41,0.56,..,..,-7.80,-5.30,-8.56,..,..,4.98,-2.06,1.31
520,NRU,Nauru,Asia & Pacific,5000.00,Middle,9267,29.04,0,1,0,,..,..,..,..,100.00,..,..,..,0.00,0.00,..,50.00,..,..,100,..,..,..,..,..,..,0.00,0.00,..,..,0.00,..,..,..,0.00,100.00,..,..,..,..,-9999,0,-9999,-8888,-8888,-9999,-9999,-8888,0.00,0.00000000,-7777,-9999,0,-7777,-7777,-8888,1.00,0.000000,-9999,-9999,-9999,-9999,..,..,..,..,..,..,-2.30,..,..,..,..,..,..,-13.66,..,..,..,..,0.07,-15.16,..,..,..
554,NZL,New Zealand,Asia & Pacific,25738.12,Upper,4367800,269798.30,0,0,0,,66.05,95.03,53.62,90.06,100.00,100.00,39.20,40.33,74.43,78.30,60.44,28.40,44.57,90.06,100,100,100,..,27.39,51.02,40.33,83.94,100,0.82,69.72,95.45,..,39.25,71.04,27.77,29.02,36.25,49.68,25.04,71.63,0.0013,0,0.47,100,-8888,20.41,0.81,-1.352,14.27,27.45539118,0.82,0.0055,21,-8888,0.22,0.995,0.53,0.040990,7227.55,0.30,131.23,70.28,0,..,1.352,0.0051,..,-6.44,-2.30,2.35,0.00,..,3.03,-0.13,0.30,3.31,-5.11,..,-1.49,-5.25,-0.52,-3.19,8.89,-1.03,4.88
512,OMN,Oman,Middle East & North Africa,24226.47,Upper,2782435,314382.71,0,1,0,,44.00,73.85,31.21,82.39,88.48,42.14,17.89,29.37,59.69,31.73,100.00,25.95,11.87,82.39,100,76.96,41.47,42.82,9.07,26.70,29.37,62.18,58.08,..,47.59,0.00,..,..,100.00,25.00,26.91,13.03,20.87,0.04,0.00,0.0020,0,14.08,88,87,61.40,2.92,-3.491,10.57,0.12709360,-7777,0.0336,0,-8888,-8888,1.000,0.56,0.051751,13689.83,0.79,842.73,0.00,12,13,3.491,0.0000,..,-6.07,-2.30,3.18,2.56,2.64,4.12,1.10,1.25,-2.06,-3.38,..,..,-8.56,-0.46,-2.96,9.53,-0.17,6.74
586,PAK,Pakistan,Asia & Pacific,2416.66,Middle,173593383,797494.67,0,0,0,,39.56,28.62,44.25,33.35,18.76,29.03,41.17,6.09,60.05,66.67,22.64,20.50,56.73,33.35,9.18,28.35,45.28,12.78,50.76,31.57,6.09,58.88,64.93,..,100,0.00,1.08,66.83,0.00,28.96,12.03,100.00,45.93,8.27,29.45,0.0231,53,30.94,90,45,4.86,2.27,-26.193,10.01,0.25930552,-7777,-0.0124,0,0.865,0.07,0.887,0.51,0.266003,806.94,0.35,457.34,29.45,10,55,26.193,0.1130,0.1351,-3.76,3.97,3.71,2.40,4.03,1.64,0.85,3.27,-1.35,-7.48,-2.00,-2.59,-2.18,-0.54,-1.32,6.73,-0.92,6.13
591,PAN,Panama,Americas,12541.42,Middle,3516820,75796.79,0,0,0,,57.94,57.09,58.31,63.20,63.22,38.73,43.14,41.44,84.81,54.88,52.06,35.59,58.62,63.20,26.45,100,52.55,24.90,39.92,46.35,41.44,90.76,76.67,99.67,36.87,90.91,55.30,58.38,42.49,46.15,25.03,80.94,56.47,13.83,56.37,0.0054,16,2.65,93,69,9.52,1.04,-1.228,15.43,0.88070910,99.67,0.0783,20,0.968,0.10,0.982,0.33,0.063652,2100.05,0.24,302.29,56.12,7,31,1.228,0.0178,0.0321,-5.17,2.78,2.54,2.08,3.47,2.28,0.11,0.21,-0.13,-2.54,-3.43,-2.25,-4.02,-0.90,-2.75,7.66,-1.24,5.71
612,PCN,Pitcairn,Asia & Pacific,..,..,48,44.51,0,1,0,,..,..,..,..,..,..,..,..,0.00,0.00,100.00,45.44,..,..,..,..,..,..,..,..,..,0.00,0.00,..,..,0.00,..,..,100.00,0.00,90.88,..,..,..,..,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8888,0.00,0.00000000,-7777,-9999,0,-8888,-7777,1.000,1.00,0.000045,-9999,-9999,-9999,-9999,..,..,..,0.0000,..,..,..,..,..,..,..,..,..,-13.66,..,..,..,-8.56,0.07,-10.00,..,..,..
604,PER,Peru,Americas,8558.36,Middle,29076512,1293936.30,0,0,0,,50.29,45.70,52.25,48.55,57.18,28.52,13.86,24.37,74.04,57.08,64.45,24.12,67.30,48.55,14.37,100,32.81,24.24,16.09,11.64,24.37,78.88,65.08,74.89,42.44,86.36,..,85.95,53.69,23.20,25.04,97.51,61.59,18.41,59.03,0.0111,37,6.70,82,68,40.30,6.31,-5.382,13.41,0.26327948,74.89,0.0505,19,-8888,0.03,0.989,0.59,0.063550,1321.92,0.20,214.96,57.62,18,32,5.382,0.0109,..,-4.47,3.61,2.82,2.94,3.50,3.70,1.85,1.68,-1.33,-2.97,..,-3.35,-4.50,-0.42,-2.76,7.21,-1.39,5.37
608,PHL,Philippines,Asia & Pacific,3560.50,Middle,93260798,297386.59,0,0,0,,57.40,52.56,59.48,57.97,55.44,38.85,39.06,36.44,66.04,92.42,90.14,25.84,64.66,57.97,10.88,100,47.45,30.25,45.77,32.35,36.44,64.00,78.23,38.23,100,77.27,100,70.42,100.00,37.68,14.01,100.00,67.48,7.67,32.59,0.0070,47,3.48,91,76,6.64,2.18,-1.894,10.88,1.03554285,38.23,-0.1812,17,1.024,0.06,1.037,0.41,0.214052,766.84,0.16,478.19,32.59,9,24,1.894,0.0000,0.0000,-4.92,3.85,2.60,2.30,3.22,1.93,0.81,0.64,0.03,-7.48,-7.80,-2.73,-8.56,-0.73,-1.54,6.68,-1.57,6.17
585,PLW,Palau,Asia & Pacific,12414.22,Middle,20472,480.81,0,0,0,,..,..,..,..,100.00,34.18,..,..,47.44,0.00,66.67,50.00,..,..,100,..,35.34,33.02,..,..,..,13.41,47.46,..,..,0.00,0.00,100.00,100.00,0.00,100.00,..,..,..,..,-9999,0,-9999,84,79,-9999,-9999,-8888,2.28,0.04205862,-7777,-9999,0,0.664,0.01,1.000,1.00,0.000003,-9999,-9999,-9999,-9999,16,21,..,0.0000,0.3360,..,-2.30,..,2.83,3.09,..,..,..,-3.17,..,-1.09,-4.20,-8.56,0.07,-12.76,..,..,..
598,PNG,Papua New Guinea,Asia & Pacific,2217.33,Lower,6858266,467215.51,0,0,0,,..,36.16,..,42.19,50.76,9.48,..,100.00,38.20,66.67,73.83,52.19,..,42.19,1.52,100,6.19,12.78,..,..,100,14.18,59.42,4.49,100,0.00,100,85.95,35.53,29.80,74.58,..,..,..,..,0.0151,90,1.90,40,45,-9999,-9999,-0.001,2.41,0.14615416,4.49,0.0000,0,2.633,0.03,0.976,0.50,0.000272,-9999,-9999,-9999,-9999,60,55,0.001,0.0242,0.0000,-4.17,4.50,2.48,4.11,4.03,..,..,-6.72,-1.92,-7.48,-7.80,-3.35,-3.72,-0.56,-8.21,..,..,..
