ISO3Code,Country,EPI_Regions,EPI,env_health,biodiversity,energy,water,air,resource_mgt,GDP_pc_ppp,inc_decile,landlocked,OZONE_pt,PM10_pt,INDOOR_pt,NLOAD_pt,OVRSUB_pt,HARVEST_pt,AGSUB_pt,MORTALITY_pt,ENEFF_pt,CO2GDP_pt,RENPC_pt,OVRFSH_pt,WATSUP_pt,ACSAT_pt,PWI_pt,PACOV_pt,OZONE_RAW,PM10_RAW,INDOOR_RAW,NLOAD_RAW,OVRSUB_RAW,HARVEST_RAW,AGSUB_RAW,MORTALITY_RAW,ENEFF_RAW,CO2GDP_RAW,RENPC_RAW,OVRFSH_RAW,WATSUP_RAW,ACSAT_RAW,PWI_RAW,PACOV_raw
ECU,Ecuador,Americas,75.5,78.2,64.6,66.4,82.3,78.3,72.2,"$3,700",6,0,69.2,87.3,72.0,99.7,64.9,100.0,100.0,95.0,72.4,71.3,18.8,16.7,74.7,66.0,34.7,81.0,28.10,27.85,28.00,19.40,19.24,0.50,0.00,1.28,"8,247.20",328.00,18.82,6.00,86.00,72.00,31.21,0.81
EGY,Egypt,Middle East and North Africa,57.9,74.6,23.9,57.2,71.5,14.8,38.9,"$4,200",6,0,29.5,0.0,92.0,89.5,53.5,0.0,100.0,93.7,70.4,56.4,5.7,16.7,96.4,61.1,6.1,46.4,44.97,152.29,8.00,552.28,25.46,125.75,0.00,1.64,"8,732.11",498.70,5.67,6.00,98.00,68.00,5.49,0.46
ESP,Spain,European Union +,79.2,97.0,62.1,78.0,62.4,49.2,55.3,"$23,300",2,0,20.0,78.4,100.0,92.4,32.3,100.0,49.2,99.0,80.9,90.4,9.4,16.7,100.0,100.0,18.5,96.5,49.02,40.36,0.00,400.09,37.06,2.58,4.67,0.27,"6,228.88",109.51,9.43,6.00,100.00,100.00,16.69,0.97
ETH,Ethiopia,Sub-Saharan Africa,36.7,10.4,43.5,84.1,80.3,57.1,50.0,$800,10,1,69.6,44.5,3.0,93.7,66.8,0.0,100.0,18.3,100.0,82.1,26.8,,0.0,0.0,14.9,85.8,27.94,87.97,97.00,335.29,18.16,36.87,0.00,21.18,"1,587.72",204.44,26.84,,22.00,6.00,13.37,0.86
FIN,Finland,European Union +,87.0,98.8,54.3,75.7,99.5,65.3,81.5,"$29,000",2,0,38.1,92.5,100.0,99.7,99.2,100.0,94.6,99.2,72.0,92.2,16.3,50.0,100.0,100.0,24.1,59.4,41.35,20.60,0.00,17.25,0.42,2.77,0.50,0.22,"8,349.25",88.87,16.34,4.00,100.00,100.00,21.73,0.59
FRA,France,European Union +,82.5,99.2,50.9,78.9,91.7,61.5,46.3,"$28,700",2,0,27.7,95.2,100.0,98.6,84.7,100.0,5.5,99.1,79.0,95.1,5.7,33.3,100.0,100.0,7.1,70.4,45.75,16.75,0.00,72.75,8.39,1.18,8.68,0.25,"6,685.30",55.81,5.72,5.00,100.00,100.00,6.40,0.70
GAB,Gabon,Sub-Saharan Africa,73.3,61.0,62.5,79.8,99.9,96.1,88.9,"$5,900",5,0,100.0,92.2,66.0,99.9,100.0,100.0,100.0,61.0,87.8,84.5,25.4,66.7,76.5,22.2,5.0,100.0,12.29,20.89,34.00,8.88,0.00,0.15,0.00,10.12,"4,561.08",177.35,25.36,3.00,87.00,36.00,4.49,1.00
GBR,United Kingdom,European Union +,85.6,98.9,58.8,77.8,91.9,61.6,71.6,"$29,600",1,0,29.6,93.6,100.0,99.2,84.7,100.0,64.9,98.9,83.2,89.6,1.2,50.0,100.0,100.0,28.9,68.7,44.93,18.96,0.00,45.14,8.40,2.26,3.23,0.29,"5,667.55",118.39,1.21,4.00,100.00,100.00,25.98,0.69
GEO,Georgia,Other Eastern Europe and Central Asia,61.4,61.8,31.8,58.2,93.0,33.2,88.9,"$3,100",7,0,29.0,37.4,29.0,98.8,87.2,100.0,100.0,97.2,58.9,58.8,52.7,66.7,56.7,79.3,4.3,23.6,45.21,97.90,71.00,61.73,7.03,0.00,0.00,0.72,"11,489.60",471.12,52.71,3.00,76.00,83.00,3.91,0.24
GHA,Ghana,Sub-Saharan Africa,63.1,48.8,50.1,83.3,99.4,87.3,67.5,"$2,300",7,0,91.1,83.4,5.0,98.9,100.0,85.9,100.0,58.3,95.4,82.4,36.7,16.7,62.1,48.9,8.6,69.9,18.79,33.29,95.00,61.55,0.00,7.10,0.00,10.82,"2,762.11",201.67,36.72,6.00,79.00,58.00,7.70,0.70
GIN,Guinea,Sub-Saharan Africa,49.2,17.2,64.3,88.6,99.5,69.6,83.3,"$2,100",7,0,81.0,58.2,1.0,99.0,100.0,100.0,100.0,32.3,100.0,93.2,19.9,50.0,11.6,0.0,13.8,95.6,23.07,68.74,99.00,52.11,0.00,1.52,0.00,17.56,"1,356.45",77.93,19.87,4.00,51.00,13.00,12.39,0.96
GMB,Gambia,Sub-Saharan Africa,52.3,39.3,21.2,83.5,99.6,54.9,66.9,"$1,800",8,0,68.8,41.0,2.0,99.2,100.0,67.2,100.0,43.8,100.0,86.6,0.0,33.3,67.5,42.9,0.5,10.7,28.26,92.93,98.00,42.58,0.00,12.51,0.00,14.58,"1,549.95",153.29,0.00,5.00,82.00,53.00,0.43,0.11
GNB,Guinea-Bissau,Sub-Saharan Africa,46.1,17.1,47.3,72.1,99.9,61.6,94.4,$700,10,0,77.5,45.8,5.0,99.8,100.0,100.0,100.0,0.0,86.2,75.0,0.0,83.3,26.0,19.8,21.4,44.0,24.59,86.14,95.00,9.21,0.00,1.44,0.00,27.94,"4,960.16",286.28,0.00,2.00,59.00,34.00,19.30,0.44
GRC,Greece,European Union +,80.2,96.3,27.4,74.8,94.9,50.9,72.9,"$21,300",2,0,28.4,73.4,100.0,97.9,91.9,100.0,85.3,98.8,80.9,84.6,4.3,33.3,100.0,100.0,4.1,11.5,45.44,47.39,0.00,114.12,4.45,1.03,1.35,0.31,"6,214.59",175.77,4.25,5.00,100.00,100.00,3.73,0.12
GTM,Guatemala,Americas,68.9,64.4,69.1,82.1,99.9,32.6,83.3,"$4,200",6,0,0.0,65.2,27.0,99.8,100.0,100.0,100.0,86.9,92.5,86.7,17.4,50.0,91.0,52.6,53.2,67.7,64.42,58.92,73.00,10.22,0.00,1.62,0.00,3.39,"3,448.95",151.66,17.44,4.00,95.00,61.00,47.90,0.68
HND,Honduras,Americas,70.8,66.1,78.2,73.2,97.8,39.5,88.8,"$2,800",7,0,6.3,72.6,34.0,99.8,95.8,99.8,100.0,83.5,84.5,75.1,17.5,66.7,81.9,61.1,45.3,100.0,54.84,48.54,66.00,12.97,2.31,3.05,0.00,4.28,"5,355.17",284.26,17.48,3.00,90.00,68.00,40.81,1.00
HTI,Haiti,Americas,48.9,38.4,17.4,84.9,98.0,40.7,55.6,"$1,500",9,0,9.7,71.6,18.0,98.9,97.2,0.0,100.0,48.6,99.3,88.1,9.5,66.7,47.7,19.8,1.3,27.1,53.41,49.89,82.00,59.50,1.56,111.58,0.00,13.33,"1,821.94",135.63,9.55,3.00,71.00,34.00,1.13,0.27
HUN,Hungary,European Union +,77.1,94.2,47.7,69.2,77.0,55.6,50.0,"$14,900",3,1,30.4,80.8,95.0,98.7,55.2,100.0,0.0,97.8,78.0,76.2,0.2,,98.2,93.9,21.4,52.6,44.59,37.00,5.00,68.52,24.54,1.77,17.45,0.57,"6,909.46",271.77,0.24,,99.00,95.00,19.26,0.53
IDN,Indonesia,East Asia and the Pacific,60.7,53.9,66.0,67.1,99.8,25.1,79.9,"$3,500",6,0,15.4,34.9,37.0,99.9,99.6,100.0,89.6,88.6,79.8,69.2,4.6,50.0,60.3,41.6,16.8,97.1,50.99,101.54,63.00,5.15,0.22,1.32,0.96,2.96,"6,485.10",351.54,4.61,4.00,78.00,52.00,15.09,0.97
IND,India,South Asia,47.7,43.8,39.8,59.7,67.6,28.4,62.1,"$3,100",7,0,12.9,43.9,19.0,96.5,38.8,69.6,100.0,67.1,87.8,45.6,5.3,16.7,74.7,14.9,11.5,57.1,52.06,88.83,81.00,188.00,33.53,11.82,-1.63,8.54,"4,571.40",621.43,5.31,6.00,86.00,30.00,10.31,0.57
IRL,Ireland,European Union +,83.3,98.6,26.2,81.2,99.6,60.3,72.5,"$31,900",1,0,29.6,91.0,100.0,99.2,100.0,92.8,91.4,98.8,90.1,90.5,1.9,33.3,100.0,100.0,3.5,10.7,44.96,22.64,0.00,43.13,0.00,5.10,0.79,0.32,"4,014.35",108.76,1.86,5.00,100.00,100.00,3.18,0.11
IRN,Iran,Middle East and North Africa,70.0,85.7,48.0,36.6,72.4,31.1,83.3,"$7,700",4,0,5.8,56.4,98.0,91.0,53.7,100.0,100.0,94.4,52.4,29.8,1.7,50.0,87.4,80.5,11.9,63.3,55.07,71.25,2.00,476.30,25.34,0.13,0.00,1.45,"13,047.64",802.44,1.70,4.00,93.00,84.00,10.68,0.63
ISL,Iceland,European Union +,82.1,98.8,63.7,68.9,99.2,61.5,33.3,"$31,900",1,0,30.7,92.3,100.0,100.0,98.3,100.0,0.0,99.1,41.2,94.1,71.4,0.0,100.0,100.0,14.4,93.7,44.50,20.77,0.00,2.12,0.92,0.00,24.26,0.22,"15,716.04",67.69,71.37,7.00,100.00,100.00,12.96,0.94
ISR,Israel,Middle East and North Africa,73.7,95.9,47.3,76.0,46.1,49.6,38.9,"$20,800",2,0,28.9,70.2,100.0,92.2,0.0,100.0,0.0,99.0,82.7,86.5,0.1,16.7,100.0,100.0,27.8,54.6,45.26,51.83,0.00,409.61,75.29,0.45,18.63,0.26,"5,779.68",154.62,0.07,6.00,100.00,,24.99,0.55
