,Code,Country,EPI,HLT,BDH,air,energy,GDP_pc_ppp
121,TWN,Taiwan,79.1,93.5,67.3,47.4,70.7,"$25,300"
122,TZA,Tanzania,59.0,37.3,74.1,86.2,82.9,$700
123,UGA,Uganda,60.8,31.7,73.6,98.0,92.4,"$1,500"
124,UKR,Ukraine,71.2,93.8,40.1,56.6,3.7,"$6,300"
125,USA,United States,78.5,98.3,66.9,44.7,69.7,"$40,100"
126,UZB,Uzbekistan,52.3,57.7,38.3,36.4,0.4,"$1,800"
127,VEN,Venezuela,74.1,81.8,88.0,76.9,32.1,"$5,800"
128,VNM,Viet Nam,54.3,44.4,42.8,45.3,64.1,"$2,700"
129,YEM,Yemen,45.2,40.7,13.7,39.5,59.2,$800
130,ZAF,South Africa,62.0,71.8,47.2,78.6,53.3,"$11,100"
131,ZMB,Zambia,54.4,24.0,81.6,69.1,74.2,$900
132,ZWE,Zimbabwe,63.0,49.9,67.6,70.0,63.1,"$1,900"
